channel,success_ratio,protocol,seed,class,alpha_x100,beta_x100
lossless,1.0,RPL_STANDARD,20260602,0,1.627,98.373
lossless,1.0,RPL_STANDARD,20260602,1,17.853,82.147
lossless,1.0,RPL_STANDARD,20260602,2,36.069,63.931
lossless,1.0,RPL_STANDARD,20260602,3,58.395,41.605
lossless,1.0,RPL_MQOS,20260602,0,1.627,98.373
lossless,1.0,RPL_MQOS,20260602,1,17.853,82.147
lossless,1.0,RPL_MQOS,20260602,2,36.069,63.931
lossless,1.0,RPL_MQOS,20260602,3,58.395,41.605
lossless,1.0,RPL_AER,20260602,0,1.627,98.373
lossless,1.0,RPL_AER,20260602,1,17.853,82.147
lossless,1.0,RPL_AER,20260602,2,36.069,63.931
lossless,1.0,RPL_AER,20260602,3,58.395,41.605
lossless,1.0,AER_MQOS,20260602,0,1.627,98.373
lossless,1.0,AER_MQOS,20260602,1,17.853,82.147
lossless,1.0,AER_MQOS,20260602,2,36.069,63.931
lossless,1.0,AER_MQOS,20260602,3,58.395,41.605
lossy,0.85,RPL_STANDARD,20260602,0,0.444,99.556
lossy,0.85,RPL_STANDARD,20260602,1,14.359,85.641
lossy,0.85,RPL_STANDARD,20260602,2,34.477,65.523
lossy,0.85,RPL_STANDARD,20260602,3,48.918,51.082
lossy,0.85,RPL_MQOS,20260602,0,0.444,99.556
lossy,0.85,RPL_MQOS,20260602,1,14.359,85.641
lossy,0.85,RPL_MQOS,20260602,2,34.477,65.523
lossy,0.85,RPL_MQOS,20260602,3,48.918,51.082
lossy,0.85,RPL_AER,20260602,0,0.444,99.556
lossy,0.85,RPL_AER,20260602,1,14.359,85.641
lossy,0.85,RPL_AER,20260602,2,34.477,65.523
lossy,0.85,RPL_AER,20260602,3,48.918,51.082
lossy,0.85,AER_MQOS,20260602,0,0.444,99.556
lossy,0.85,AER_MQOS,20260602,1,14.359,85.641
lossy,0.85,AER_MQOS,20260602,2,34.477,65.523
lossy,0.85,AER_MQOS,20260602,3,48.918,51.082
