channel,success_ratio,protocol,seed,time_min,ctrl_export_rate,dio_total,dao_total,dio_dao_console,dao_console
lossless,1.0,RPL_STANDARD,20260602,0.0416,492.972973,0,1026,0,0
lossless,1.0,RPL_STANDARD,20260602,0.1249,499.6997,2,1038,0,0
lossless,1.0,RPL_STANDARD,20260602,0.2081,512.570056,28,1039,0,0
lossless,1.0,RPL_STANDARD,20260602,0.2914,512.672673,29,1038,0,0
lossless,1.0,RPL_STANDARD,20260602,0.3746,525.645646,55,1039,0,0
lossless,1.0,RPL_STANDARD,20260602,0.4579,554.363491,116,1038,0,0
lossless,1.0,RPL_STANDARD,20260602,0.5412,557.837838,122,1039,0,0
lossless,1.0,RPL_STANDARD,20260602,0.6244,582.342342,174,1038,0,0
lossless,1.0,RPL_STANDARD,20260602,0.7077,597.117694,204,1039,0,0
lossless,1.0,RPL_STANDARD,20260602,0.7909,596.276276,203,1038,0,0
lossless,1.0,RPL_STANDARD,20260602,0.8742,597.237237,204,1039,0,0
lossless,1.0,RPL_STANDARD,20260602,0.9574,549.929958,184,961,0,0
lossless,1.0,RPL_MQOS,20260602,0.0416,492.972973,0,1026,0,0
lossless,1.0,RPL_MQOS,20260602,0.1249,499.6997,2,1038,0,0
lossless,1.0,RPL_MQOS,20260602,0.2081,512.570056,28,1039,0,0
lossless,1.0,RPL_MQOS,20260602,0.2914,512.672673,29,1038,0,0
lossless,1.0,RPL_MQOS,20260602,0.3746,525.645646,55,1039,0,0
lossless,1.0,RPL_MQOS,20260602,0.4579,554.363491,116,1038,0,0
lossless,1.0,RPL_MQOS,20260602,0.5412,557.837838,122,1039,0,0
lossless,1.0,RPL_MQOS,20260602,0.6244,582.342342,174,1038,0,0
lossless,1.0,RPL_MQOS,20260602,0.7077,597.117694,204,1039,0,0
lossless,1.0,RPL_MQOS,20260602,0.7909,596.276276,203,1038,0,0
lossless,1.0,RPL_MQOS,20260602,0.8742,597.237237,204,1039,0,0
lossless,1.0,RPL_MQOS,20260602,0.9574,549.929958,184,961,0,0
lossless,1.0,RPL_AER,20260602,0.0416,492.972973,0,1026,0,0
lossless,1.0,RPL_AER,20260602,0.1249,499.6997,2,1038,0,0
lossless,1.0,RPL_AER,20260602,0.2081,512.570056,28,1039,0,0
lossless,1.0,RPL_AER,20260602,0.2914,512.672673,29,1038,0,0
lossless,1.0,RPL_AER,20260602,0.3746,525.645646,55,1039,0,0
lossless,1.0,RPL_AER,20260602,0.4579,554.363491,116,1038,0,0
lossless,1.0,RPL_AER,20260602,0.5412,557.837838,122,1039,0,0
lossless,1.0,RPL_AER,20260602,0.6244,582.342342,174,1038,0,0
lossless,1.0,RPL_AER,20260602,0.7077,597.117694,204,1039,0,0
lossless,1.0,RPL_AER,20260602,0.7909,596.276276,203,1038,0,0
lossless,1.0,RPL_AER,20260602,0.8742,597.237237,204,1039,0,0
lossless,1.0,RPL_AER,20260602,0.9574,549.929958,184,961,0,0
lossless,1.0,AER_MQOS,20260602,0.0416,492.972973,0,1026,0,0
lossless,1.0,AER_MQOS,20260602,0.1249,499.6997,2,1038,0,0
lossless,1.0,AER_MQOS,20260602,0.2081,512.570056,28,1039,0,0
lossless,1.0,AER_MQOS,20260602,0.2914,512.672673,29,1038,0,0
