metric,column,channel,protocol,n,mean,std,ci95_half_width,mean_minus_ci,mean_plus_ci
PDR (%),pdr_mean,lossless,AER_MQOS,1,65.303,0.0,0.0,65.303,65.303
PDR (%),pdr_mean,lossless,RPL_AER,1,65.303,0.0,0.0,65.303,65.303
PDR (%),pdr_mean,lossless,RPL_MQOS,1,65.303,0.0,0.0,65.303,65.303
PDR (%),pdr_mean,lossless,RPL_STANDARD,1,65.303,0.0,0.0,65.303,65.303
PDR (%),pdr_mean,lossy,AER_MQOS,1,77.2414,0.0,0.0,77.2414,77.2414
PDR (%),pdr_mean,lossy,RPL_AER,1,77.2414,0.0,0.0,77.2414,77.2414
PDR (%),pdr_mean,lossy,RPL_MQOS,1,77.2414,0.0,0.0,77.2414,77.2414
PDR (%),pdr_mean,lossy,RPL_STANDARD,1,77.2414,0.0,0.0,77.2414,77.2414
Latency mean (ms),latency_ms_mean,lossless,AER_MQOS,1,630.667,0.0,0.0,630.667,630.667
Latency mean (ms),latency_ms_mean,lossless,RPL_AER,1,630.667,0.0,0.0,630.667,630.667
Latency mean (ms),latency_ms_mean,lossless,RPL_MQOS,1,630.667,0.0,0.0,630.667,630.667
Latency mean (ms),latency_ms_mean,lossless,RPL_STANDARD,1,630.667,0.0,0.0,630.667,630.667
Latency mean (ms),latency_ms_mean,lossy,AER_MQOS,1,596.681,0.0,0.0,596.681,596.681
Latency mean (ms),latency_ms_mean,lossy,RPL_AER,1,596.681,0.0,0.0,596.681,596.681
Latency mean (ms),latency_ms_mean,lossy,RPL_MQOS,1,596.681,0.0,0.0,596.681,596.681
Latency mean (ms),latency_ms_mean,lossy,RPL_STANDARD,1,596.681,0.0,0.0,596.681,596.681
Latency p95 (ms),latency_ms_p95,lossless,AER_MQOS,1,1359.0,0.0,0.0,1359.0,1359.0
Latency p95 (ms),latency_ms_p95,lossless,RPL_AER,1,1359.0,0.0,0.0,1359.0,1359.0
Latency p95 (ms),latency_ms_p95,lossless,RPL_MQOS,1,1359.0,0.0,0.0,1359.0,1359.0
Latency p95 (ms),latency_ms_p95,lossless,RPL_STANDARD,1,1359.0,0.0,0.0,1359.0,1359.0
Latency p95 (ms),latency_ms_p95,lossy,AER_MQOS,1,1154.0,0.0,0.0,1154.0,1154.0
Latency p95 (ms),latency_ms_p95,lossy,RPL_AER,1,1154.0,0.0,0.0,1154.0,1154.0
Latency p95 (ms),latency_ms_p95,lossy,RPL_MQOS,1,1154.0,0.0,0.0,1154.0,1154.0
Latency p95 (ms),latency_ms_p95,lossy,RPL_STANDARD,1,1154.0,0.0,0.0,1154.0,1154.0
NRE proxy,nre_proxy_pct,lossless,AER_MQOS,1,86.504,0.0,0.0,86.504,86.504
NRE proxy,nre_proxy_pct,lossless,RPL_AER,1,86.504,0.0,0.0,86.504,86.504
NRE proxy,nre_proxy_pct,lossless,RPL_MQOS,1,86.504,0.0,0.0,86.504,86.504
NRE proxy,nre_proxy_pct,lossless,RPL_STANDARD,1,86.504,0.0,0.0,86.504,86.504
NRE proxy,nre_proxy_pct,lossy,AER_MQOS,1,86.511,0.0,0.0,86.511,86.511
NRE proxy,nre_proxy_pct,lossy,RPL_AER,1,86.511,0.0,0.0,86.511,86.511
NRE proxy,nre_proxy_pct,lossy,RPL_MQOS,1,86.511,0.0,0.0,86.511,86.511
NRE proxy,nre_proxy_pct,lossy,RPL_STANDARD,1,86.511,0.0,0.0,86.511,86.511
PDR class pdr_c0,pdr_c0,lossless,AER_MQOS,1,74.0,0.0,0.0,74.0,74.0
PDR class pdr_c0,pdr_c0,lossless,RPL_AER,1,74.0,0.0,0.0,74.0,74.0
PDR class pdr_c0,pdr_c0,lossless,RPL_MQOS,1,74.0,0.0,0.0,74.0,74.0
PDR class pdr_c0,pdr_c0,lossless,RPL_STANDARD,1,74.0,0.0,0.0,74.0,74.0
PDR class pdr_c0,pdr_c0,lossy,AER_MQOS,1,84.9673,0.0,0.0,84.9673,84.9673
