protocol,seed,time_min,dio_dao_per_node_min,dio_total,dao_total,dio_dao_console,dao_console
RPL_STANDARD,20260512,1.2402,3.273644,85,118,0,0
RPL_STANDARD,20260512,3.7206,4.144465,120,137,0,0
RPL_STANDARD,20260512,6.201,3.563917,103,118,0,0
RPL_STANDARD,20260512,8.6815,4.144465,120,137,0,0
RPL_STANDARD,20260512,11.1619,3.563917,103,118,0,0
RPL_STANDARD,20260512,13.6423,4.144437,120,137,0,0
RPL_STANDARD,20260512,16.1227,3.563917,103,118,0,0
RPL_STANDARD,20260512,18.6031,4.144465,120,137,0,0
RPL_STANDARD,20260512,21.0836,3.563917,103,118,0,0
RPL_STANDARD,20260512,23.564,4.144465,120,137,0,0
RPL_STANDARD,20260512,26.0444,3.563917,103,118,0,0
RPL_STANDARD,20260512,28.5248,4.321796,125,143,0,0
RPL_MQOS,20260512,1.2402,3.27371,85,118,0,0
RPL_MQOS,20260512,3.7206,4.144521,120,137,0,0
RPL_MQOS,20260512,6.2009,3.563989,103,118,0,0
RPL_MQOS,20260512,8.6813,4.144521,120,137,0,0
RPL_MQOS,20260512,11.1617,3.563989,103,118,0,0
RPL_MQOS,20260512,13.6421,4.144521,120,137,0,0
RPL_MQOS,20260512,16.1224,3.563989,103,118,0,0
RPL_MQOS,20260512,18.6028,4.144521,120,137,0,0
RPL_MQOS,20260512,21.0832,3.563989,103,118,0,0
RPL_MQOS,20260512,23.5636,4.144521,120,137,0,0
RPL_MQOS,20260512,26.0439,3.563989,103,118,0,0
RPL_MQOS,20260512,28.5243,4.321884,125,143,0,0
RPL_AER,20260512,1.2402,3.273732,85,118,0,0
RPL_AER,20260512,3.7205,4.144549,120,137,0,0
RPL_AER,20260512,6.2009,3.563989,103,118,0,0
RPL_AER,20260512,8.6813,4.144549,120,137,0,0
RPL_AER,20260512,11.1616,3.563989,103,118,0,0
RPL_AER,20260512,13.642,4.144549,120,137,0,0
RPL_AER,20260512,16.1224,3.563989,103,118,0,0
RPL_AER,20260512,18.6027,4.144549,120,137,0,0
RPL_AER,20260512,21.0831,3.563989,103,118,0,0
RPL_AER,20260512,23.5635,4.144549,120,137,0,0
RPL_AER,20260512,26.0438,3.563989,103,118,0,0
RPL_AER,20260512,28.5242,4.321913,125,143,0,0
AER_MQOS,20260512,1.2402,3.27371,85,118,0,0
AER_MQOS,20260512,3.7206,4.144521,120,137,0,0
AER_MQOS,20260512,6.2009,3.563989,103,118,0,0
AER_MQOS,20260512,8.6813,4.144521,120,137,0,0
AER_MQOS,20260512,11.1617,3.563989,103,118,0,0
AER_MQOS,20260512,13.6421,4.144521,120,137,0,0
AER_MQOS,20260512,16.1224,3.563989,103,118,0,0
AER_MQOS,20260512,18.6028,4.144521,120,137,0,0
AER_MQOS,20260512,21.0832,3.563989,103,118,0,0
AER_MQOS,20260512,23.5636,4.144521,120,137,0,0
AER_MQOS,20260512,26.0439,3.563989,103,118,0,0
AER_MQOS,20260512,28.5243,4.321884,125,143,0,0
