protocol,seed,class,jitter_ms_mean
RPL_STANDARD,20260512,0,6310.758
RPL_STANDARD,20260512,1,5950.551
RPL_STANDARD,20260512,2,4732.612
RPL_STANDARD,20260512,3,4607.321
RPL_MQOS,20260512,0,6310.557
RPL_MQOS,20260512,1,5950.551
RPL_MQOS,20260512,2,4732.722
RPL_MQOS,20260512,3,4607.238
RPL_AER,20260512,0,6310.557
RPL_AER,20260512,1,5950.551
RPL_AER,20260512,2,4732.722
RPL_AER,20260512,3,4607.219
AER_MQOS,20260512,0,6310.557
AER_MQOS,20260512,1,5950.551
AER_MQOS,20260512,2,4732.722
AER_MQOS,20260512,3,4607.238
