channel,success_ratio,protocol,seed,class,alpha_x100,beta_x100
lossless,1.0,RPL_STANDARD,20260501,0,10.882,89.118
lossless,1.0,RPL_STANDARD,20260501,1,20.741,79.259
lossless,1.0,RPL_STANDARD,20260501,2,30.723,69.277
lossless,1.0,RPL_STANDARD,20260501,3,35.615,64.385
lossless,1.0,RPL_MQOS,20260501,0,10.882,89.118
lossless,1.0,RPL_MQOS,20260501,1,20.741,79.259
lossless,1.0,RPL_MQOS,20260501,2,30.723,69.277
lossless,1.0,RPL_MQOS,20260501,3,35.615,64.385
lossless,1.0,RPL_AER,20260501,0,10.882,89.118
lossless,1.0,RPL_AER,20260501,1,20.741,79.259
lossless,1.0,RPL_AER,20260501,2,30.723,69.277
lossless,1.0,RPL_AER,20260501,3,35.615,64.385
lossless,1.0,AER_MQOS,20260501,0,10.882,89.118
lossless,1.0,AER_MQOS,20260501,1,20.741,79.259
lossless,1.0,AER_MQOS,20260501,2,30.723,69.277
lossless,1.0,AER_MQOS,20260501,3,35.615,64.385
lossless,1.0,RPL_STANDARD,20260502,0,10.826,89.174
lossless,1.0,RPL_STANDARD,20260502,1,20.7,79.3
lossless,1.0,RPL_STANDARD,20260502,2,30.74,69.26
lossless,1.0,RPL_STANDARD,20260502,3,35.626,64.374
lossless,1.0,RPL_STANDARD,20260504,0,10.938,89.062
lossless,1.0,RPL_STANDARD,20260504,1,20.831,79.169
lossless,1.0,RPL_STANDARD,20260504,2,30.692,69.308
lossless,1.0,RPL_STANDARD,20260504,3,35.594,64.406
lossless,1.0,RPL_MQOS,20260504,0,10.938,89.062
lossless,1.0,RPL_MQOS,20260504,1,20.831,79.169
lossless,1.0,RPL_MQOS,20260504,2,30.692,69.308
lossless,1.0,RPL_MQOS,20260504,3,35.594,64.406
lossless,1.0,RPL_AER,20260504,0,10.938,89.062
lossless,1.0,RPL_AER,20260504,1,20.831,79.169
lossless,1.0,RPL_AER,20260504,2,30.692,69.308
lossless,1.0,RPL_AER,20260504,3,35.594,64.406
lossless,1.0,AER_MQOS,20260504,0,10.938,89.062
