channel,success_ratio,protocol,seed,time_min,dio_dao_per_node_min,dio_total,dao_total,dio_dao_console,dao_console
lossless,1.0,RPL_STANDARD,20260501,1.2398,3.081018,73,118,0,0
lossless,1.0,RPL_STANDARD,20260501,3.7195,3.839174,101,137,0,0
lossless,1.0,RPL_STANDARD,20260501,6.1993,3.32296,88,118,0,0
lossless,1.0,RPL_STANDARD,20260501,8.679,3.839174,101,137,0,0
lossless,1.0,RPL_STANDARD,20260501,11.1587,3.322983,88,118,0,0
lossless,1.0,RPL_STANDARD,20260501,13.6384,3.839148,101,137,0,0
lossless,1.0,RPL_STANDARD,20260501,16.1181,3.322983,88,118,0,0
lossless,1.0,RPL_STANDARD,20260501,18.5978,3.839174,101,137,0,0
lossless,1.0,RPL_STANDARD,20260501,21.0775,3.32296,88,118,0,0
lossless,1.0,RPL_STANDARD,20260501,23.5572,3.839174,101,137,0,0
lossless,1.0,RPL_STANDARD,20260501,26.0369,3.322983,88,118,0,0
lossless,1.0,RPL_STANDARD,20260501,28.5166,4.016561,106,143,0,0
lossless,1.0,RPL_MQOS,20260501,1.2399,3.080997,73,118,0,0
lossless,1.0,RPL_MQOS,20260501,3.7196,3.839148,101,137,0,0
lossless,1.0,RPL_MQOS,20260501,6.1993,3.32296,88,118,0,0
lossless,1.0,RPL_MQOS,20260501,8.679,3.839148,101,137,0,0
lossless,1.0,RPL_MQOS,20260501,11.1587,3.32296,88,118,0,0
lossless,1.0,RPL_MQOS,20260501,13.6384,3.839148,101,137,0,0
lossless,1.0,RPL_MQOS,20260501,16.1182,3.32296,88,118,0,0
lossless,1.0,RPL_MQOS,20260501,18.5979,3.839148,101,137,0,0
lossless,1.0,RPL_MQOS,20260501,21.0776,3.32296,88,118,0,0
lossless,1.0,RPL_MQOS,20260501,23.5573,3.839148,101,137,0,0
lossless,1.0,RPL_MQOS,20260501,26.037,3.32296,88,118,0,0
lossless,1.0,RPL_MQOS,20260501,28.5168,4.016534,106,143,0,0
lossless,1.0,RPL_AER,20260501,1.2398,3.081018,73,118,0,0
lossless,1.0,RPL_AER,20260501,3.7195,3.839174,101,137,0,0
lossless,1.0,RPL_AER,20260501,6.1993,3.32296,88,118,0,0
lossless,1.0,RPL_AER,20260501,8.679,3.839174,101,137,0,0
lossless,1.0,RPL_AER,20260501,11.1587,3.322983,88,118,0,0
lossless,1.0,RPL_AER,20260501,13.6384,3.839148,101,137,0,0
lossless,1.0,RPL_AER,20260501,16.1181,3.322983,88,118,0,0
lossless,1.0,RPL_AER,20260501,18.5978,3.839174,101,137,0,0
lossless,1.0,RPL_AER,20260501,21.0775,3.32296,88,118,0,0
lossless,1.0,RPL_AER,20260501,23.5572,3.839174,101,137,0,0
lossless,1.0,RPL_AER,20260501,26.0369,3.322983,88,118,0,0
lossless,1.0,RPL_AER,20260501,28.5166,4.016561,106,143,0,0
lossless,1.0,AER_MQOS,20260501,1.2398,3.081018,73,118,0,0
lossless,1.0,AER_MQOS,20260501,3.7196,3.839148,101,137,0,0
lossless,1.0,AER_MQOS,20260501,6.1993,3.322983,88,118,0,0
lossless,1.0,AER_MQOS,20260501,8.679,3.839148,101,137,0,0
lossless,1.0,AER_MQOS,20260501,11.1587,3.322983,88,118,0,0
lossless,1.0,AER_MQOS,20260501,13.6384,3.839148,101,137,0,0
lossless,1.0,AER_MQOS,20260501,16.1181,3.32296,88,118,0,0
lossless,1.0,AER_MQOS,20260501,18.5978,3.839174,101,137,0,0
lossless,1.0,AER_MQOS,20260501,21.0775,3.32296,88,118,0,0
lossless,1.0,AER_MQOS,20260501,23.5572,3.839174,101,137,0,0
lossless,1.0,AER_MQOS,20260501,26.0369,3.32296,88,118,0,0
lossless,1.0,AER_MQOS,20260501,28.5167,4.016561,106,143,0,0
lossless,1.0,RPL_STANDARD,20260502,1.2396,3.210584,81,118,0,0
lossless,1.0,RPL_STANDARD,20260502,3.719,4.049503,114,137,0,0
lossless,1.0,RPL_STANDARD,20260502,6.1983,3.517122,100,118,0,0
lossless,1.0,RPL_STANDARD,20260502,8.6776,4.049503,114,137,0,0
lossless,1.0,RPL_STANDARD,20260502,11.1569,3.517122,100,118,0,0
lossless,1.0,RPL_STANDARD,20260502,13.6362,4.049503,114,137,0,0
lossless,1.0,RPL_STANDARD,20260502,16.1155,3.517122,100,118,0,0
lossless,1.0,RPL_STANDARD,20260502,18.5948,4.049503,114,137,0,0
lossless,1.0,RPL_STANDARD,20260502,21.0741,3.517122,100,118,0,0
lossless,1.0,RPL_STANDARD,20260502,23.5534,4.049503,114,137,0,0
lossless,1.0,RPL_STANDARD,20260502,26.0327,3.517122,100,118,0,0
lossless,1.0,RPL_STANDARD,20260502,28.512,4.243076,120,143,0,0
lossless,1.0,RPL_STANDARD,20260504,1.2397,3.178103,79,118,0,0
lossless,1.0,RPL_STANDARD,20260504,3.7192,4.065363,115,137,0,0
lossless,1.0,RPL_STANDARD,20260504,6.1987,3.500729,99,118,0,0
lossless,1.0,RPL_STANDARD,20260504,8.6782,4.065363,115,137,0,0
lossless,1.0,RPL_STANDARD,20260504,11.1577,3.500753,99,118,0,0
lossless,1.0,RPL_STANDARD,20260504,13.6371,4.065363,115,137,0,0
lossless,1.0,RPL_STANDARD,20260504,16.1166,3.500729,99,118,0,0
lossless,1.0,RPL_STANDARD,20260504,18.5961,4.065363,115,137,0,0
lossless,1.0,RPL_STANDARD,20260504,21.0756,3.500753,99,118,0,0
lossless,1.0,RPL_STANDARD,20260504,23.555,4.065363,115,137,0,0
lossless,1.0,RPL_STANDARD,20260504,26.0345,3.500729,99,118,0,0
lossless,1.0,RPL_STANDARD,20260504,28.514,4.242791,120,143,0,0
lossless,1.0,RPL_MQOS,20260504,1.2397,3.178103,79,118,0,0
lossless,1.0,RPL_MQOS,20260504,3.7192,4.065363,115,137,0,0
lossless,1.0,RPL_MQOS,20260504,6.1987,3.500729,99,118,0,0
lossless,1.0,RPL_MQOS,20260504,8.6782,4.065363,115,137,0,0
lossless,1.0,RPL_MQOS,20260504,11.1577,3.500753,99,118,0,0
lossless,1.0,RPL_MQOS,20260504,13.6371,4.065363,115,137,0,0
lossless,1.0,RPL_MQOS,20260504,16.1166,3.500729,99,118,0,0
lossless,1.0,RPL_MQOS,20260504,18.5961,4.065363,115,137,0,0
lossless,1.0,RPL_MQOS,20260504,21.0756,3.500753,99,118,0,0
