channel,success_ratio,protocol,seed,duty_cycle_pct,nre_mean_x100
lossless,1.0,RPL_STANDARD,20260501,76.048,76.048
lossless,1.0,RPL_MQOS,20260501,75.983,75.983
lossless,1.0,RPL_AER,20260501,76.048,76.048
lossless,1.0,AER_MQOS,20260501,75.997,75.997
lossless,1.0,RPL_STANDARD,20260502,76.006,76.006
lossless,1.0,RPL_STANDARD,20260504,76.008,76.008
lossless,1.0,RPL_MQOS,20260504,76.079,76.079
lossless,1.0,RPL_AER,20260504,76.053,76.053
lossless,1.0,AER_MQOS,20260504,76.056,76.056
lossless,1.0,RPL_STANDARD,20260505,76.062,76.062
lossless,1.0,RPL_STANDARD,20260506,76.088,76.088
lossless,1.0,RPL_MQOS,20260506,76.067,76.067
lossless,1.0,RPL_AER,20260506,76.067,76.067
lossless,1.0,AER_MQOS,20260506,76.092,76.092
lossless,1.0,RPL_STANDARD,20260507,75.978,75.978
lossless,1.0,RPL_MQOS,20260507,76.038,76.038
lossless,1.0,RPL_AER,20260507,75.997,75.997
lossless,1.0,AER_MQOS,20260507,75.926,75.926
lossless,1.0,RPL_STANDARD,20260508,75.893,75.893
lossless,1.0,RPL_MQOS,20260508,75.901,75.901
lossless,1.0,RPL_AER,20260508,75.893,75.893
lossless,1.0,AER_MQOS,20260508,75.901,75.901
lossless,1.0,RPL_STANDARD,20260512,76.123,76.123
lossless,1.0,RPL_MQOS,20260512,76.118,76.118
lossless,1.0,RPL_AER,20260512,76.121,76.121
lossless,1.0,AER_MQOS,20260512,76.118,76.118
lossy,0.85,RPL_STANDARD,20260501,75.899,75.899
lossy,0.85,RPL_MQOS,20260501,75.958,75.958
lossy,0.85,RPL_AER,20260501,75.9,75.9
lossy,0.85,AER_MQOS,20260501,75.948,75.948
lossy,0.85,RPL_STANDARD,20260502,75.976,75.976
lossy,0.85,RPL_MQOS,20260502,76.046,76.046
lossy,0.85,RPL_AER,20260502,76.066,76.066
lossy,0.85,AER_MQOS,20260502,75.981,75.981
lossy,0.85,RPL_STANDARD,20260503,76.034,76.034
lossy,0.85,RPL_MQOS,20260503,75.988,75.988
lossy,0.85,RPL_AER,20260503,75.941,75.941
lossy,0.85,AER_MQOS,20260503,76.044,76.044
lossy,0.85,RPL_STANDARD,20260504,76.135,76.135
lossy,0.85,RPL_MQOS,20260504,75.973,75.973
lossy,0.85,RPL_AER,20260504,75.921,75.921
lossy,0.85,AER_MQOS,20260504,76.013,76.013
lossy,0.85,RPL_STANDARD,20260505,75.975,75.975
lossy,0.85,RPL_MQOS,20260505,76.079,76.079
lossy,0.85,RPL_AER,20260505,75.965,75.965
lossy,0.85,AER_MQOS,20260505,75.954,75.954
lossy,0.85,RPL_STANDARD,20260506,75.969,75.969
lossy,0.85,RPL_MQOS,20260506,75.965,75.965
lossy,0.85,RPL_AER,20260506,76.066,76.066
lossy,0.85,AER_MQOS,20260506,75.874,75.874
lossy,0.85,RPL_STANDARD,20260507,75.993,75.993
lossy,0.85,RPL_MQOS,20260507,76.08,76.08
lossy,0.85,RPL_AER,20260507,76.019,76.019
lossy,0.85,AER_MQOS,20260507,75.91,75.91
lossy,0.85,RPL_STANDARD,20260508,75.816,75.816
lossy,0.85,RPL_MQOS,20260508,75.914,75.914
lossy,0.85,RPL_AER,20260508,75.996,75.996
lossy,0.85,AER_MQOS,20260508,75.916,75.916
lossy,0.85,RPL_STANDARD,20260512,76.119,76.119
lossy,0.85,RPL_MQOS,20260512,76.155,76.155
lossy,0.85,RPL_AER,20260512,76.098,76.098
lossy,0.85,AER_MQOS,20260512,76.03,76.03
