channel,success_ratio,protocol,seed,class,jitter_ms_mean
lossless,1.0,RPL_STANDARD,20260501,0,8485.517
lossless,1.0,RPL_STANDARD,20260501,1,7228.587
lossless,1.0,RPL_STANDARD,20260501,2,5664.458
lossless,1.0,RPL_STANDARD,20260501,3,4833.066
lossless,1.0,RPL_MQOS,20260501,0,8485.768
lossless,1.0,RPL_MQOS,20260501,1,7228.942
lossless,1.0,RPL_MQOS,20260501,2,5663.865
lossless,1.0,RPL_MQOS,20260501,3,4833.09
lossless,1.0,RPL_AER,20260501,0,8485.517
lossless,1.0,RPL_AER,20260501,1,7228.587
lossless,1.0,RPL_AER,20260501,2,5664.458
lossless,1.0,RPL_AER,20260501,3,4833.066
lossless,1.0,AER_MQOS,20260501,0,8485.532
lossless,1.0,AER_MQOS,20260501,1,7228.661
lossless,1.0,AER_MQOS,20260501,2,5664.042
lossless,1.0,AER_MQOS,20260501,3,4833.074
lossless,1.0,RPL_STANDARD,20260502,0,7938.212
lossless,1.0,RPL_STANDARD,20260502,1,6834.988
lossless,1.0,RPL_STANDARD,20260502,2,4822.783
lossless,1.0,RPL_STANDARD,20260502,3,4103.751
lossless,1.0,RPL_STANDARD,20260504,0,7208.121
lossless,1.0,RPL_STANDARD,20260504,1,5399.907
lossless,1.0,RPL_STANDARD,20260504,2,5419.451
lossless,1.0,RPL_STANDARD,20260504,3,4668.005
lossless,1.0,RPL_MQOS,20260504,0,7208.904
lossless,1.0,RPL_MQOS,20260504,1,5399.907
lossless,1.0,RPL_MQOS,20260504,2,5419.522
lossless,1.0,RPL_MQOS,20260504,3,4668.005
lossless,1.0,RPL_AER,20260504,0,7208.552
lossless,1.0,RPL_AER,20260504,1,5399.907
lossless,1.0,RPL_AER,20260504,2,5419.373
lossless,1.0,RPL_AER,20260504,3,4668.005
lossless,1.0,AER_MQOS,20260504,0,7208.46
lossless,1.0,AER_MQOS,20260504,1,5416.653
lossless,1.0,AER_MQOS,20260504,2,5419.429
lossless,1.0,AER_MQOS,20260504,3,4667.974
lossless,1.0,RPL_STANDARD,20260505,0,9413.984
lossless,1.0,RPL_STANDARD,20260505,1,6160.725
lossless,1.0,RPL_STANDARD,20260505,2,4877.658
lossless,1.0,RPL_STANDARD,20260505,3,4756.946
lossless,1.0,RPL_STANDARD,20260506,0,6862.837
lossless,1.0,RPL_STANDARD,20260506,1,5813.286
lossless,1.0,RPL_STANDARD,20260506,2,4707.078
lossless,1.0,RPL_STANDARD,20260506,3,4019.847
lossless,1.0,RPL_MQOS,20260506,0,6862.992
lossless,1.0,RPL_MQOS,20260506,1,5813.199
lossless,1.0,RPL_MQOS,20260506,2,4706.936
