channel,success_ratio,protocol,seed,latency_ms_mean,latency_ms_p95
lossless,1.0,RPL_STANDARD,20260501,371.868,678.0
lossless,1.0,RPL_MQOS,20260501,370.473,676.0
lossless,1.0,RPL_AER,20260501,371.868,678.0
lossless,1.0,AER_MQOS,20260501,372.644,672.0
lossless,1.0,RPL_STANDARD,20260502,15.071,32.0
lossless,1.0,RPL_STANDARD,20260504,131.781,256.0
lossless,1.0,RPL_MQOS,20260504,128.402,256.0
lossless,1.0,RPL_AER,20260504,126.811,258.0
lossless,1.0,AER_MQOS,20260504,125.697,251.0
lossless,1.0,RPL_STANDARD,20260505,254.316,412.0
lossless,1.0,RPL_STANDARD,20260506,417.141,794.0
lossless,1.0,RPL_MQOS,20260506,415.068,790.0
lossless,1.0,RPL_AER,20260506,415.068,790.0
lossless,1.0,AER_MQOS,20260506,414.897,806.0
lossless,1.0,RPL_STANDARD,20260507,622.508,1032.0
lossless,1.0,RPL_MQOS,20260507,624.251,1038.0
lossless,1.0,RPL_AER,20260507,624.666,1032.0
lossless,1.0,AER_MQOS,20260507,627.117,1033.0
lossless,1.0,RPL_STANDARD,20260508,654.909,980.0
lossless,1.0,RPL_MQOS,20260508,654.242,979.0
lossless,1.0,RPL_AER,20260508,654.909,980.0
lossless,1.0,AER_MQOS,20260508,654.287,979.0
lossless,1.0,RPL_STANDARD,20260512,451.102,908.0
lossless,1.0,RPL_MQOS,20260512,451.361,910.0
lossless,1.0,RPL_AER,20260512,451.497,911.0
lossless,1.0,AER_MQOS,20260512,451.361,910.0
lossy,0.85,RPL_STANDARD,20260501,405.049,767.0
lossy,0.85,RPL_MQOS,20260501,411.81,769.0
lossy,0.85,RPL_AER,20260501,412.58,773.0
lossy,0.85,AER_MQOS,20260501,404.217,769.0
lossy,0.85,RPL_STANDARD,20260502,44.667,135.0
lossy,0.85,RPL_MQOS,20260502,49.414,152.0
lossy,0.85,RPL_AER,20260502,44.367,138.0
lossy,0.85,AER_MQOS,20260502,45.0,153.0
lossy,0.85,RPL_STANDARD,20260503,100.909,217.0
lossy,0.85,RPL_MQOS,20260503,101.598,210.0
lossy,0.85,RPL_AER,20260503,98.88,209.0
lossy,0.85,AER_MQOS,20260503,101.286,203.0
lossy,0.85,RPL_STANDARD,20260504,139.955,305.0
lossy,0.85,RPL_MQOS,20260504,128.881,306.0
lossy,0.85,RPL_AER,20260504,141.954,315.0
lossy,0.85,AER_MQOS,20260504,138.148,324.0
lossy,0.85,RPL_STANDARD,20260505,284.002,499.0
lossy,0.85,RPL_MQOS,20260505,279.067,475.0
lossy,0.85,RPL_AER,20260505,276.244,471.0
lossy,0.85,AER_MQOS,20260505,280.474,480.0
lossy,0.85,RPL_STANDARD,20260506,446.33,907.0
lossy,0.85,RPL_MQOS,20260506,445.071,892.0
lossy,0.85,RPL_AER,20260506,454.878,900.0
lossy,0.85,AER_MQOS,20260506,459.894,920.0
lossy,0.85,RPL_STANDARD,20260507,659.798,1155.0
lossy,0.85,RPL_MQOS,20260507,653.839,1132.0
lossy,0.85,RPL_AER,20260507,658.217,1145.0
lossy,0.85,AER_MQOS,20260507,656.641,1134.0
lossy,0.85,RPL_STANDARD,20260508,666.838,1003.0
lossy,0.85,RPL_MQOS,20260508,665.953,991.0
lossy,0.85,RPL_AER,20260508,666.268,997.0
lossy,0.85,AER_MQOS,20260508,666.066,1007.0
lossy,0.85,RPL_STANDARD,20260512,485.494,967.0
lossy,0.85,RPL_MQOS,20260512,503.432,983.0
lossy,0.85,RPL_AER,20260512,487.061,954.0
lossy,0.85,AER_MQOS,20260512,497.328,968.0
