channel,success_ratio,scenario,protocol,pdr_mean,seed
lossless,1.0,epoch_first_half,RPL_STANDARD,100.0,20260501
lossless,1.0,epoch_second_half,RPL_STANDARD,100.0,20260501
lossless,1.0,epoch_first_half,RPL_MQOS,100.0,20260501
lossless,1.0,epoch_second_half,RPL_MQOS,100.0,20260501
lossless,1.0,epoch_first_half,RPL_AER,100.0,20260501
lossless,1.0,epoch_second_half,RPL_AER,100.0,20260501
lossless,1.0,epoch_first_half,AER_MQOS,100.0,20260501
lossless,1.0,epoch_second_half,AER_MQOS,100.0,20260501
lossless,1.0,epoch_first_half,RPL_STANDARD,100.0,20260502
lossless,1.0,epoch_second_half,RPL_STANDARD,100.0,20260502
lossless,1.0,epoch_first_half,RPL_STANDARD,100.0,20260504
lossless,1.0,epoch_second_half,RPL_STANDARD,100.0,20260504
lossless,1.0,epoch_first_half,RPL_MQOS,100.0,20260504
lossless,1.0,epoch_second_half,RPL_MQOS,100.0,20260504
lossless,1.0,epoch_first_half,RPL_AER,100.0,20260504
lossless,1.0,epoch_second_half,RPL_AER,100.0,20260504
lossless,1.0,epoch_first_half,AER_MQOS,100.0,20260504
lossless,1.0,epoch_second_half,AER_MQOS,100.0,20260504
lossless,1.0,epoch_first_half,RPL_STANDARD,100.0,20260505
lossless,1.0,epoch_second_half,RPL_STANDARD,100.0,20260505
lossless,1.0,epoch_first_half,RPL_STANDARD,100.0,20260506
lossless,1.0,epoch_second_half,RPL_STANDARD,100.0,20260506
lossless,1.0,epoch_first_half,RPL_MQOS,100.0,20260506
lossless,1.0,epoch_second_half,RPL_MQOS,100.0,20260506
lossless,1.0,epoch_first_half,RPL_AER,100.0,20260506
lossless,1.0,epoch_second_half,RPL_AER,100.0,20260506
lossless,1.0,epoch_first_half,AER_MQOS,100.0,20260506
lossless,1.0,epoch_second_half,AER_MQOS,100.0,20260506
lossless,1.0,epoch_first_half,RPL_STANDARD,100.0,20260507
lossless,1.0,epoch_second_half,RPL_STANDARD,100.0,20260507
lossless,1.0,epoch_first_half,RPL_MQOS,100.0,20260507
lossless,1.0,epoch_second_half,RPL_MQOS,100.0,20260507
lossless,1.0,epoch_first_half,RPL_AER,100.0,20260507
lossless,1.0,epoch_second_half,RPL_AER,100.0,20260507
lossless,1.0,epoch_first_half,AER_MQOS,100.0,20260507
