channel,success_ratio,protocol,seed,time_min,parent_changes_cumulative,parent_switch_console
lossless,1.0,RPL_STANDARD,20260501,1.2398,73,0
lossless,1.0,RPL_STANDARD,20260501,3.7195,174,0
lossless,1.0,RPL_STANDARD,20260501,6.1993,262,0
lossless,1.0,RPL_STANDARD,20260501,8.679,363,0
lossless,1.0,RPL_STANDARD,20260501,11.1587,451,0
lossless,1.0,RPL_STANDARD,20260501,13.6384,552,0
lossless,1.0,RPL_STANDARD,20260501,16.1181,640,0
lossless,1.0,RPL_STANDARD,20260501,18.5978,741,0
lossless,1.0,RPL_STANDARD,20260501,21.0775,829,0
lossless,1.0,RPL_STANDARD,20260501,23.5572,930,0
lossless,1.0,RPL_STANDARD,20260501,26.0369,1018,0
lossless,1.0,RPL_STANDARD,20260501,28.5166,1124,0
lossless,1.0,RPL_MQOS,20260501,1.2399,73,0
lossless,1.0,RPL_MQOS,20260501,3.7196,174,0
lossless,1.0,RPL_MQOS,20260501,6.1993,262,0
lossless,1.0,RPL_MQOS,20260501,8.679,363,0
lossless,1.0,RPL_MQOS,20260501,11.1587,451,0
lossless,1.0,RPL_MQOS,20260501,13.6384,552,0
lossless,1.0,RPL_MQOS,20260501,16.1182,640,0
lossless,1.0,RPL_MQOS,20260501,18.5979,741,0
lossless,1.0,RPL_MQOS,20260501,21.0776,829,0
lossless,1.0,RPL_MQOS,20260501,23.5573,930,0
lossless,1.0,RPL_MQOS,20260501,26.037,1018,0
lossless,1.0,RPL_MQOS,20260501,28.5168,1124,0
lossless,1.0,RPL_AER,20260501,1.2398,73,0
lossless,1.0,RPL_AER,20260501,3.7195,174,0
lossless,1.0,RPL_AER,20260501,6.1993,262,0
lossless,1.0,RPL_AER,20260501,8.679,363,0
lossless,1.0,RPL_AER,20260501,11.1587,451,0
lossless,1.0,RPL_AER,20260501,13.6384,552,0
lossless,1.0,RPL_AER,20260501,16.1181,640,0
lossless,1.0,RPL_AER,20260501,18.5978,741,0
lossless,1.0,RPL_AER,20260501,21.0775,829,0
lossless,1.0,RPL_AER,20260501,23.5572,930,0
lossless,1.0,RPL_AER,20260501,26.0369,1018,0
lossless,1.0,RPL_AER,20260501,28.5166,1124,0
lossless,1.0,AER_MQOS,20260501,1.2398,73,0
lossless,1.0,AER_MQOS,20260501,3.7196,174,0
