metric,column,channel,protocol,n,mean,std,ci95_half_width,mean_minus_ci,mean_plus_ci
PDR (%),pdr_mean,lossless,AER_MQOS,6,100.0,0.0,0.0,100.0,100.0
PDR (%),pdr_mean,lossless,RPL_AER,6,100.0,0.0,0.0,100.0,100.0
PDR (%),pdr_mean,lossless,RPL_MQOS,6,100.0,0.0,0.0,100.0,100.0
PDR (%),pdr_mean,lossless,RPL_STANDARD,8,100.0,0.0,0.0,100.0,100.0
PDR (%),pdr_mean,lossy,AER_MQOS,9,99.9504,0.0643,0.042,99.9084,99.9925
PDR (%),pdr_mean,lossy,RPL_AER,9,99.969,0.0931,0.0609,99.9081,100.0298
PDR (%),pdr_mean,lossy,RPL_MQOS,9,99.9406,0.0611,0.0399,99.9007,99.9805
PDR (%),pdr_mean,lossy,RPL_STANDARD,9,99.9779,0.1087,0.071,99.9069,100.0489
Latency mean (ms),latency_ms_mean,lossless,AER_MQOS,6,441.0005,192.3581,153.9185,287.082,594.919
Latency mean (ms),latency_ms_mean,lossless,RPL_AER,6,440.8032,191.7116,153.4012,287.402,594.2044
Latency mean (ms),latency_ms_mean,lossless,RPL_MQOS,6,440.6328,191.0621,152.8815,287.7513,593.5144
Latency mean (ms),latency_ms_mean,lossless,RPL_STANDARD,8,364.837,223.4883,154.8695,209.9675,519.7065
Latency mean (ms),latency_ms_mean,lossy,AER_MQOS,9,361.006,232.9583,152.1995,208.8065,513.2055
Latency mean (ms),latency_ms_mean,lossy,RPL_AER,9,360.0499,232.6509,151.9986,208.0513,512.0485
Latency mean (ms),latency_ms_mean,lossy,RPL_MQOS,9,359.8961,232.8207,152.1096,207.7866,512.0057
Latency mean (ms),latency_ms_mean,lossy,RPL_STANDARD,9,359.2269,231.8439,151.4713,207.7556,510.6982
Latency p95 (ms),latency_ms_p95,lossless,AER_MQOS,6,775.1667,287.2458,229.8445,545.3221,1005.0112
Latency p95 (ms),latency_ms_p95,lossless,RPL_AER,6,774.8333,284.0749,227.3073,547.526,1002.1406
Latency p95 (ms),latency_ms_p95,lossless,RPL_MQOS,6,774.8333,285.796,228.6844,546.1489,1003.5178
Latency p95 (ms),latency_ms_p95,lossless,RPL_STANDARD,8,636.5,365.5239,253.2951,383.2049,889.7951
Latency p95 (ms),latency_ms_p95,lossy,AER_MQOS,9,662.0,375.9302,245.6077,416.3923,907.6077
Latency p95 (ms),latency_ms_p95,lossy,RPL_AER,9,655.7778,376.8404,246.2024,409.5754,901.9802
Latency p95 (ms),latency_ms_p95,lossy,RPL_MQOS,9,656.6667,374.5637,244.715,411.9517,901.3816
Latency p95 (ms),latency_ms_p95,lossy,RPL_STANDARD,9,661.6667,379.667,248.0491,413.6176,909.7157
NRE proxy,nre_mean_x100,lossless,AER_MQOS,6,76.015,0.0888,0.0711,75.9439,76.0861
