channel,success_ratio,protocol,seed,class,alpha_x100,beta_x100
lossless,1.0,RPL_STANDARD,20260501,0,25,75
lossless,1.0,RPL_STANDARD,20260501,1,35,65
lossless,1.0,RPL_STANDARD,20260501,2,43.5,56.5
lossless,1.0,RPL_STANDARD,20260501,3,47.333,52.667
lossless,1.0,RPL_MQOS,20260501,0,25,75
lossless,1.0,RPL_MQOS,20260501,1,35,65
lossless,1.0,RPL_MQOS,20260501,2,43.5,56.5
lossless,1.0,RPL_MQOS,20260501,3,47.333,52.667
lossless,1.0,RPL_AER,20260501,0,25,75
lossless,1.0,RPL_AER,20260501,1,35,65
lossless,1.0,RPL_AER,20260501,2,43.5,56.5
lossless,1.0,RPL_AER,20260501,3,47.333,52.667
lossless,1.0,AER_MQOS,20260501,0,25,75
lossless,1.0,AER_MQOS,20260501,1,35,65
lossless,1.0,AER_MQOS,20260501,2,43.5,56.5
lossless,1.0,AER_MQOS,20260501,3,47.333,52.667
lossless,1.0,RPL_STANDARD,20260502,0,25,75
lossless,1.0,RPL_STANDARD,20260502,1,35,65
lossless,1.0,RPL_STANDARD,20260502,2,44.091,55.909
lossless,1.0,RPL_STANDARD,20260502,3,47.647,52.353
lossless,1.0,RPL_MQOS,20260502,0,25,75
lossless,1.0,RPL_MQOS,20260502,1,35,65
lossless,1.0,RPL_MQOS,20260502,2,44.091,55.909
lossless,1.0,RPL_MQOS,20260502,3,47.647,52.353
lossless,1.0,RPL_AER,20260502,0,25,75
lossless,1.0,RPL_AER,20260502,1,35,65
lossless,1.0,RPL_AER,20260502,2,44.091,55.909
lossless,1.0,RPL_AER,20260502,3,47.647,52.353
lossless,1.0,AER_MQOS,20260502,0,25,75
lossless,1.0,AER_MQOS,20260502,1,35,65
lossless,1.0,AER_MQOS,20260502,2,44.091,55.909
lossless,1.0,AER_MQOS,20260502,3,47.647,52.353
lossless,1.0,RPL_STANDARD,20260503,0,25,75
lossless,1.0,RPL_STANDARD,20260503,1,35,65
lossless,1.0,RPL_STANDARD,20260503,2,43.889,56.111
lossless,1.0,RPL_STANDARD,20260503,3,47.5,52.5
lossless,1.0,RPL_MQOS,20260503,0,25,75
lossless,1.0,RPL_MQOS,20260503,1,35,65
lossless,1.0,RPL_MQOS,20260503,2,43.889,56.111
lossless,1.0,RPL_MQOS,20260503,3,47.5,52.5
lossless,1.0,RPL_AER,20260503,0,25,75
lossless,1.0,RPL_AER,20260503,1,35,65
lossless,1.0,RPL_AER,20260503,2,43.889,56.111
lossless,1.0,RPL_AER,20260503,3,47.5,52.5
lossless,1.0,AER_MQOS,20260503,0,25,75
lossless,1.0,AER_MQOS,20260503,1,35,65
lossless,1.0,AER_MQOS,20260503,2,43.889,56.111
lossless,1.0,AER_MQOS,20260503,3,47.5,52.5
lossless,1.0,RPL_STANDARD,20260504,0,25,75
lossless,1.0,RPL_STANDARD,20260504,1,35,65
lossless,1.0,RPL_STANDARD,20260504,2,43.5,56.5
lossless,1.0,RPL_STANDARD,20260504,3,47.5,52.5
lossless,1.0,RPL_MQOS,20260504,0,25,75
lossless,1.0,RPL_MQOS,20260504,1,35,65
lossless,1.0,RPL_MQOS,20260504,2,43.5,56.5
lossless,1.0,RPL_MQOS,20260504,3,47.5,52.5
lossless,1.0,RPL_AER,20260504,0,25,75
lossless,1.0,RPL_AER,20260504,1,35,65
lossless,1.0,RPL_AER,20260504,2,43.5,56.5
lossless,1.0,RPL_AER,20260504,3,47.5,52.5
lossless,1.0,AER_MQOS,20260504,0,25,75
lossless,1.0,AER_MQOS,20260504,1,35,65
lossless,1.0,AER_MQOS,20260504,2,43.5,56.5
lossless,1.0,AER_MQOS,20260504,3,47.5,52.5
lossless,1.0,RPL_STANDARD,20260505,0,25,75
lossless,1.0,RPL_STANDARD,20260505,1,35,65
lossless,1.0,RPL_STANDARD,20260505,2,43.571,56.429
lossless,1.0,RPL_STANDARD,20260505,3,47.5,52.5
lossless,1.0,RPL_MQOS,20260505,0,25,75
lossless,1.0,RPL_MQOS,20260505,1,35,65
lossless,1.0,RPL_MQOS,20260505,2,43.571,56.429
lossless,1.0,RPL_MQOS,20260505,3,47.5,52.5
lossless,1.0,RPL_AER,20260505,0,25,75
lossless,1.0,RPL_AER,20260505,1,35,65
lossless,1.0,RPL_AER,20260505,2,43.571,56.429
lossless,1.0,RPL_AER,20260505,3,47.5,52.5
lossless,1.0,AER_MQOS,20260505,0,25,75
lossless,1.0,AER_MQOS,20260505,1,35,65
lossless,1.0,AER_MQOS,20260505,2,43.571,56.429
lossless,1.0,AER_MQOS,20260505,3,47.5,52.5
lossy,0.85,RPL_STANDARD,20260501,0,25,75
lossy,0.85,RPL_STANDARD,20260501,1,35,65
lossy,0.85,RPL_STANDARD,20260501,2,43.75,56.25
lossy,0.85,RPL_STANDARD,20260501,3,47.5,52.5
lossy,0.85,RPL_MQOS,20260501,0,25,75
lossy,0.85,RPL_MQOS,20260501,1,35,65
lossy,0.85,RPL_MQOS,20260501,2,43.75,56.25
lossy,0.85,RPL_MQOS,20260501,3,47.5,52.5
lossy,0.85,RPL_AER,20260501,0,25,75
lossy,0.85,RPL_AER,20260501,1,35,65
lossy,0.85,RPL_AER,20260501,2,43.75,56.25
lossy,0.85,RPL_AER,20260501,3,47.5,52.5
lossy,0.85,AER_MQOS,20260501,0,25,75
lossy,0.85,AER_MQOS,20260501,1,35,65
lossy,0.85,AER_MQOS,20260501,2,43.75,56.25
lossy,0.85,AER_MQOS,20260501,3,47.5,52.5
lossy,0.85,RPL_STANDARD,20260502,0,25,75
lossy,0.85,RPL_STANDARD,20260502,1,35,65
lossy,0.85,RPL_STANDARD,20260502,2,44.091,55.909
lossy,0.85,RPL_STANDARD,20260502,3,47.647,52.353
lossy,0.85,RPL_MQOS,20260502,0,25,75
lossy,0.85,RPL_MQOS,20260502,1,35,65
lossy,0.85,RPL_MQOS,20260502,2,44.091,55.909
lossy,0.85,RPL_MQOS,20260502,3,47.647,52.353
lossy,0.85,RPL_AER,20260502,0,25,75
lossy,0.85,RPL_AER,20260502,1,35,65
lossy,0.85,RPL_AER,20260502,2,44.091,55.909
lossy,0.85,RPL_AER,20260502,3,47.647,52.353
lossy,0.85,AER_MQOS,20260502,0,25,75
lossy,0.85,AER_MQOS,20260502,1,35,65
lossy,0.85,AER_MQOS,20260502,2,44.091,55.909
lossy,0.85,AER_MQOS,20260502,3,47.647,52.353
lossy,0.85,RPL_STANDARD,20260503,0,25,75
lossy,0.85,RPL_STANDARD,20260503,1,35,65
lossy,0.85,RPL_STANDARD,20260503,2,43.5,56.5
lossy,0.85,RPL_STANDARD,20260503,3,47.692,52.308
lossy,0.85,RPL_MQOS,20260503,0,25,75
lossy,0.85,RPL_MQOS,20260503,1,35,65
lossy,0.85,RPL_MQOS,20260503,2,43.5,56.5
lossy,0.85,RPL_MQOS,20260503,3,47.692,52.308
lossy,0.85,RPL_AER,20260503,0,25,75
lossy,0.85,RPL_AER,20260503,1,35,65
lossy,0.85,RPL_AER,20260503,2,43.5,56.5
lossy,0.85,RPL_AER,20260503,3,47.692,52.308
lossy,0.85,AER_MQOS,20260503,0,25,75
lossy,0.85,AER_MQOS,20260503,1,35,65
lossy,0.85,AER_MQOS,20260503,2,43.5,56.5
lossy,0.85,AER_MQOS,20260503,3,47.692,52.308
lossy,0.85,RPL_STANDARD,20260504,0,25,75
lossy,0.85,RPL_STANDARD,20260504,1,35,65
lossy,0.85,RPL_STANDARD,20260504,2,44,56
lossy,0.85,RPL_STANDARD,20260504,3,47.5,52.5
lossy,0.85,RPL_MQOS,20260504,0,25,75
lossy,0.85,RPL_MQOS,20260504,1,35,65
lossy,0.85,RPL_MQOS,20260504,2,43.889,56.111
lossy,0.85,RPL_MQOS,20260504,3,47.692,52.308
lossy,0.85,RPL_AER,20260504,0,25,75
lossy,0.85,RPL_AER,20260504,1,35,65
lossy,0.85,RPL_AER,20260504,2,43.889,56.111
lossy,0.85,RPL_AER,20260504,3,47.692,52.308
lossy,0.85,AER_MQOS,20260504,0,25,75
lossy,0.85,AER_MQOS,20260504,1,35,65
lossy,0.85,AER_MQOS,20260504,2,44,56
lossy,0.85,AER_MQOS,20260504,3,47.5,52.5
lossy,0.85,RPL_STANDARD,20260505,0,25,75
lossy,0.85,RPL_STANDARD,20260505,1,35,65
lossy,0.85,RPL_STANDARD,20260505,2,43.667,56.333
lossy,0.85,RPL_STANDARD,20260505,3,47.667,52.333
lossy,0.85,RPL_MQOS,20260505,0,25,75
lossy,0.85,RPL_MQOS,20260505,1,35,65
lossy,0.85,RPL_MQOS,20260505,2,43.667,56.333
lossy,0.85,RPL_MQOS,20260505,3,47.667,52.333
lossy,0.85,RPL_AER,20260505,0,25,75
lossy,0.85,RPL_AER,20260505,1,35,65
lossy,0.85,RPL_AER,20260505,2,43.667,56.333
lossy,0.85,RPL_AER,20260505,3,47.667,52.333
lossy,0.85,AER_MQOS,20260505,0,25,75
lossy,0.85,AER_MQOS,20260505,1,35,65
lossy,0.85,AER_MQOS,20260505,2,43.667,56.333
lossy,0.85,AER_MQOS,20260505,3,47.5,52.5
