channel,success_ratio,protocol,seed,time_min,dio_dao_per_node_min,dio_total,dao_total,dio_dao_console,dao_console
lossless,1.0,RPL_STANDARD,20260501,0.0588,0.0,0,0,0,0
lossless,1.0,RPL_STANDARD,20260501,0.1764,0.0,0,0,0,0
lossless,1.0,RPL_STANDARD,20260501,0.294,2.721088,2,6,0,0
lossless,1.0,RPL_STANDARD,20260501,0.4116,3.060791,3,6,0,0
lossless,1.0,RPL_STANDARD,20260501,0.5292,3.061224,2,7,0,0
lossless,1.0,RPL_STANDARD,20260501,0.6468,6.121581,6,12,0,0
lossless,1.0,RPL_STANDARD,20260501,0.7645,0.0,0,0,0,0
lossless,1.0,RPL_STANDARD,20260501,0.8821,3.061224,3,6,0,0
lossless,1.0,RPL_STANDARD,20260501,0.9997,3.400879,4,6,0,0
lossless,1.0,RPL_STANDARD,20260501,1.1173,3.401361,3,7,0,0
lossless,1.0,RPL_STANDARD,20260501,1.2349,0.0,0,0,0,0
lossless,1.0,RPL_STANDARD,20260501,1.3525,10.54123,13,18,0,0
lossless,1.0,RPL_MQOS,20260501,0.0588,0.0,0,0,0,0
lossless,1.0,RPL_MQOS,20260501,0.1764,0.0,0,0,0,0
lossless,1.0,RPL_MQOS,20260501,0.294,2.721088,2,6,0,0
lossless,1.0,RPL_MQOS,20260501,0.4116,3.060791,3,6,0,0
lossless,1.0,RPL_MQOS,20260501,0.5292,3.061224,2,7,0,0
lossless,1.0,RPL_MQOS,20260501,0.6468,6.121581,6,12,0,0
lossless,1.0,RPL_MQOS,20260501,0.7645,0.0,0,0,0,0
lossless,1.0,RPL_MQOS,20260501,0.8821,3.061224,3,6,0,0
lossless,1.0,RPL_MQOS,20260501,0.9997,3.400879,4,6,0,0
lossless,1.0,RPL_MQOS,20260501,1.1173,3.401361,3,7,0,0
lossless,1.0,RPL_MQOS,20260501,1.2349,0.0,0,0,0,0
lossless,1.0,RPL_MQOS,20260501,1.3525,10.54123,13,18,0,0
lossless,1.0,RPL_AER,20260501,0.0588,0.0,0,0,0,0
lossless,1.0,RPL_AER,20260501,0.1764,0.0,0,0,0,0
lossless,1.0,RPL_AER,20260501,0.294,2.721088,2,6,0,0
lossless,1.0,RPL_AER,20260501,0.4116,3.060791,3,6,0,0
lossless,1.0,RPL_AER,20260501,0.5292,3.061224,2,7,0,0
lossless,1.0,RPL_AER,20260501,0.6468,6.121581,6,12,0,0
lossless,1.0,RPL_AER,20260501,0.7645,0.0,0,0,0,0
lossless,1.0,RPL_AER,20260501,0.8821,3.061224,3,6,0,0
lossless,1.0,RPL_AER,20260501,0.9997,3.400879,4,6,0,0
lossless,1.0,RPL_AER,20260501,1.1173,3.401361,3,7,0,0
lossless,1.0,RPL_AER,20260501,1.2349,0.0,0,0,0,0
lossless,1.0,RPL_AER,20260501,1.3525,10.54123,13,18,0,0
lossless,1.0,AER_MQOS,20260501,0.0588,0.0,0,0,0,0
lossless,1.0,AER_MQOS,20260501,0.1764,0.0,0,0,0,0
lossless,1.0,AER_MQOS,20260501,0.294,2.721088,2,6,0,0
lossless,1.0,AER_MQOS,20260501,0.4116,3.060791,3,6,0,0
lossless,1.0,AER_MQOS,20260501,0.5292,3.061224,2,7,0,0
lossless,1.0,AER_MQOS,20260501,0.6468,6.121581,6,12,0,0
lossless,1.0,AER_MQOS,20260501,0.7645,0.0,0,0,0,0
lossless,1.0,AER_MQOS,20260501,0.8821,3.061224,3,6,0,0
lossless,1.0,AER_MQOS,20260501,0.9997,3.400879,4,6,0,0
lossless,1.0,AER_MQOS,20260501,1.1173,3.401361,3,7,0,0
lossless,1.0,AER_MQOS,20260501,1.2349,0.0,0,0,0,0
lossless,1.0,AER_MQOS,20260501,1.3525,10.54123,13,18,0,0
lossless,1.0,RPL_STANDARD,20260502,0.0584,0.0,0,0,0,0
lossless,1.0,RPL_STANDARD,20260502,0.1752,0.0,0,0,0,0
lossless,1.0,RPL_STANDARD,20260502,0.292,2.739726,2,6,0,0
lossless,1.0,RPL_STANDARD,20260502,0.4088,2.739335,2,6,0,0
lossless,1.0,RPL_STANDARD,20260502,0.5256,3.082192,2,7,0,0
lossless,1.0,RPL_STANDARD,20260502,0.6424,6.163504,6,12,0,0
lossless,1.0,RPL_STANDARD,20260502,0.7592,0.0,0,0,0,0
lossless,1.0,RPL_STANDARD,20260502,0.8761,3.424169,4,6,0,0
lossless,1.0,RPL_STANDARD,20260502,0.9929,3.767123,5,6,0,0
lossless,1.0,RPL_STANDARD,20260502,1.1097,3.424169,3,7,0,0
lossless,1.0,RPL_STANDARD,20260502,1.2265,0.0,0,0,0,0
lossless,1.0,RPL_STANDARD,20260502,1.3433,11.298146,15,18,0,0
lossless,1.0,RPL_MQOS,20260502,0.0584,0.0,0,0,0,0
lossless,1.0,RPL_MQOS,20260502,0.1752,0.0,0,0,0,0
lossless,1.0,RPL_MQOS,20260502,0.292,2.739726,2,6,0,0
lossless,1.0,RPL_MQOS,20260502,0.4088,2.739335,2,6,0,0
lossless,1.0,RPL_MQOS,20260502,0.5256,3.082192,2,7,0,0
lossless,1.0,RPL_MQOS,20260502,0.6424,6.163504,6,12,0,0
lossless,1.0,RPL_MQOS,20260502,0.7592,0.0,0,0,0,0
lossless,1.0,RPL_MQOS,20260502,0.8761,3.424169,4,6,0,0
lossless,1.0,RPL_MQOS,20260502,0.9929,3.767123,5,6,0,0
lossless,1.0,RPL_MQOS,20260502,1.1097,3.424169,3,7,0,0
lossless,1.0,RPL_MQOS,20260502,1.2265,0.0,0,0,0,0
lossless,1.0,RPL_MQOS,20260502,1.3433,11.298146,15,18,0,0
lossless,1.0,RPL_AER,20260502,0.0584,0.0,0,0,0,0
lossless,1.0,RPL_AER,20260502,0.1752,0.0,0,0,0,0
lossless,1.0,RPL_AER,20260502,0.292,2.739726,2,6,0,0
lossless,1.0,RPL_AER,20260502,0.4088,2.739335,2,6,0,0
lossless,1.0,RPL_AER,20260502,0.5256,3.082192,2,7,0,0
lossless,1.0,RPL_AER,20260502,0.6424,6.163504,6,12,0,0
lossless,1.0,RPL_AER,20260502,0.7592,0.0,0,0,0,0
lossless,1.0,RPL_AER,20260502,0.8761,3.424169,4,6,0,0
lossless,1.0,RPL_AER,20260502,0.9929,3.767123,5,6,0,0
lossless,1.0,RPL_AER,20260502,1.1097,3.424169,3,7,0,0
lossless,1.0,RPL_AER,20260502,1.2265,0.0,0,0,0,0
lossless,1.0,RPL_AER,20260502,1.3433,11.298146,15,18,0,0
lossless,1.0,AER_MQOS,20260502,0.0584,0.0,0,0,0,0
lossless,1.0,AER_MQOS,20260502,0.1752,0.0,0,0,0,0
lossless,1.0,AER_MQOS,20260502,0.292,2.739726,2,6,0,0
lossless,1.0,AER_MQOS,20260502,0.4088,2.739335,2,6,0,0
lossless,1.0,AER_MQOS,20260502,0.5256,3.082192,2,7,0,0
lossless,1.0,AER_MQOS,20260502,0.6424,6.163504,6,12,0,0
lossless,1.0,AER_MQOS,20260502,0.7592,0.0,0,0,0,0
lossless,1.0,AER_MQOS,20260502,0.8761,3.424169,4,6,0,0
lossless,1.0,AER_MQOS,20260502,0.9929,3.767123,5,6,0,0
lossless,1.0,AER_MQOS,20260502,1.1097,3.424169,3,7,0,0
lossless,1.0,AER_MQOS,20260502,1.2265,0.0,0,0,0,0
lossless,1.0,AER_MQOS,20260502,1.3433,11.298146,15,18,0,0
lossless,1.0,RPL_STANDARD,20260503,0.0585,0.0,0,0,0,0
lossless,1.0,RPL_STANDARD,20260503,0.1756,0.0,0,0,0,0
lossless,1.0,RPL_STANDARD,20260503,0.2926,2.734264,2,6,0,0
lossless,1.0,RPL_STANDARD,20260503,0.4096,2.733874,2,6,0,0
