channel,success_ratio,protocol,seed,duty_cycle_pct,nre_mean_x100
lossless,1.0,RPL_STANDARD,20260501,74.794,74.794
lossless,1.0,RPL_MQOS,20260501,74.794,74.794
lossless,1.0,RPL_AER,20260501,74.794,74.794
lossless,1.0,AER_MQOS,20260501,74.794,74.794
lossless,1.0,RPL_STANDARD,20260502,74.853,74.853
lossless,1.0,RPL_MQOS,20260502,74.853,74.853
lossless,1.0,RPL_AER,20260502,74.853,74.853
lossless,1.0,AER_MQOS,20260502,74.853,74.853
lossless,1.0,RPL_STANDARD,20260503,74.882,74.882
lossless,1.0,RPL_MQOS,20260503,74.882,74.882
lossless,1.0,RPL_AER,20260503,74.882,74.882
lossless,1.0,AER_MQOS,20260503,74.882,74.882
lossless,1.0,RPL_STANDARD,20260504,74.794,74.794
lossless,1.0,RPL_MQOS,20260504,74.794,74.794
lossless,1.0,RPL_AER,20260504,74.794,74.794
lossless,1.0,AER_MQOS,20260504,74.824,74.824
lossless,1.0,RPL_STANDARD,20260505,74.824,74.824
lossless,1.0,RPL_MQOS,20260505,74.824,74.824
lossless,1.0,RPL_AER,20260505,74.824,74.824
lossless,1.0,AER_MQOS,20260505,74.824,74.824
lossy,0.85,RPL_STANDARD,20260501,74.765,74.765
lossy,0.85,RPL_MQOS,20260501,74.779,74.779
lossy,0.85,RPL_AER,20260501,74.779,74.779
lossy,0.85,AER_MQOS,20260501,74.75,74.75
lossy,0.85,RPL_STANDARD,20260502,74.735,74.735
lossy,0.85,RPL_MQOS,20260502,74.735,74.735
lossy,0.85,RPL_AER,20260502,74.735,74.735
lossy,0.85,AER_MQOS,20260502,74.735,74.735
lossy,0.85,RPL_STANDARD,20260503,74.824,74.824
lossy,0.85,RPL_MQOS,20260503,74.824,74.824
lossy,0.85,RPL_AER,20260503,74.824,74.824
lossy,0.85,AER_MQOS,20260503,74.824,74.824
lossy,0.85,RPL_STANDARD,20260504,74.912,74.912
lossy,0.85,RPL_MQOS,20260504,74.868,74.868
lossy,0.85,RPL_AER,20260504,74.868,74.868
lossy,0.85,AER_MQOS,20260504,74.912,74.912
lossy,0.85,RPL_STANDARD,20260505,74.75,74.75
lossy,0.85,RPL_MQOS,20260505,74.75,74.75
lossy,0.85,RPL_AER,20260505,74.75,74.75
lossy,0.85,AER_MQOS,20260505,74.765,74.765
