channel,success_ratio,protocol,seed,class,jitter_ms_mean
lossless,1.0,RPL_STANDARD,20260501,0,8502.0
lossless,1.0,RPL_STANDARD,20260501,1,8262.0
lossless,1.0,RPL_STANDARD,20260501,2,6074.111
lossless,1.0,RPL_STANDARD,20260501,3,4505.929
lossless,1.0,RPL_MQOS,20260501,0,8502.0
lossless,1.0,RPL_MQOS,20260501,1,8262.0
lossless,1.0,RPL_MQOS,20260501,2,6074.111
lossless,1.0,RPL_MQOS,20260501,3,4505.929
lossless,1.0,RPL_AER,20260501,0,8502.0
lossless,1.0,RPL_AER,20260501,1,8262.0
lossless,1.0,RPL_AER,20260501,2,6074.111
lossless,1.0,RPL_AER,20260501,3,4505.929
lossless,1.0,AER_MQOS,20260501,0,8502.0
lossless,1.0,AER_MQOS,20260501,1,8262.0
lossless,1.0,AER_MQOS,20260501,2,6074.111
lossless,1.0,AER_MQOS,20260501,3,4505.929
lossless,1.0,RPL_STANDARD,20260502,0,8515.2
lossless,1.0,RPL_STANDARD,20260502,1,8360.25
lossless,1.0,RPL_STANDARD,20260502,2,5447.5
lossless,1.0,RPL_STANDARD,20260502,3,3976.125
lossless,1.0,RPL_MQOS,20260502,0,8515.2
lossless,1.0,RPL_MQOS,20260502,1,8360.25
lossless,1.0,RPL_MQOS,20260502,2,5447.5
lossless,1.0,RPL_MQOS,20260502,3,3976.125
lossless,1.0,RPL_AER,20260502,0,8515.2
lossless,1.0,RPL_AER,20260502,1,8360.25
lossless,1.0,RPL_AER,20260502,2,5447.5
lossless,1.0,RPL_AER,20260502,3,3976.125
lossless,1.0,AER_MQOS,20260502,0,8515.2
lossless,1.0,AER_MQOS,20260502,1,8360.25
lossless,1.0,AER_MQOS,20260502,2,5447.5
lossless,1.0,AER_MQOS,20260502,3,3977.75
lossless,1.0,RPL_STANDARD,20260503,0,10686.5
lossless,1.0,RPL_STANDARD,20260503,1,5633.5
lossless,1.0,RPL_STANDARD,20260503,2,6874.375
lossless,1.0,RPL_STANDARD,20260503,3,5749.364
lossless,1.0,RPL_MQOS,20260503,0,10686.5
lossless,1.0,RPL_MQOS,20260503,1,5633.5
lossless,1.0,RPL_MQOS,20260503,2,6874.375
lossless,1.0,RPL_MQOS,20260503,3,5749.364
lossless,1.0,RPL_AER,20260503,0,10686.5
lossless,1.0,RPL_AER,20260503,1,5633.5
lossless,1.0,RPL_AER,20260503,2,6874.375
lossless,1.0,RPL_AER,20260503,3,5749.364
lossless,1.0,AER_MQOS,20260503,0,10686.5
lossless,1.0,AER_MQOS,20260503,1,5633.5
lossless,1.0,AER_MQOS,20260503,2,6874.375
lossless,1.0,AER_MQOS,20260503,3,5749.364
lossless,1.0,RPL_STANDARD,20260504,0,8476.6
lossless,1.0,RPL_STANDARD,20260504,1,5592.0
lossless,1.0,RPL_STANDARD,20260504,2,6102.556
lossless,1.0,RPL_STANDARD,20260504,3,4887.077
lossless,1.0,RPL_MQOS,20260504,0,8476.6
lossless,1.0,RPL_MQOS,20260504,1,5592.0
lossless,1.0,RPL_MQOS,20260504,2,6102.556
lossless,1.0,RPL_MQOS,20260504,3,4887.077
lossless,1.0,RPL_AER,20260504,0,8476.6
lossless,1.0,RPL_AER,20260504,1,5592.0
lossless,1.0,RPL_AER,20260504,2,6102.556
lossless,1.0,RPL_AER,20260504,3,4887.077
lossless,1.0,AER_MQOS,20260504,0,8473.8
lossless,1.0,AER_MQOS,20260504,1,6710.4
lossless,1.0,AER_MQOS,20260504,2,6102.556
lossless,1.0,AER_MQOS,20260504,3,4887.077
lossless,1.0,RPL_STANDARD,20260505,0,14041.333
lossless,1.0,RPL_STANDARD,20260505,1,5606.0
lossless,1.0,RPL_STANDARD,20260505,2,4224.231
lossless,1.0,RPL_STANDARD,20260505,3,4912.077
lossless,1.0,RPL_MQOS,20260505,0,14041.333
lossless,1.0,RPL_MQOS,20260505,1,5606.0
lossless,1.0,RPL_MQOS,20260505,2,4224.231
lossless,1.0,RPL_MQOS,20260505,3,4912.077
lossless,1.0,RPL_AER,20260505,0,14041.333
lossless,1.0,RPL_AER,20260505,1,5606.0
lossless,1.0,RPL_AER,20260505,2,4224.231
lossless,1.0,RPL_AER,20260505,3,4912.077
lossless,1.0,AER_MQOS,20260505,0,14041.333
lossless,1.0,AER_MQOS,20260505,1,5606.0
lossless,1.0,AER_MQOS,20260505,2,4224.231
lossless,1.0,AER_MQOS,20260505,3,4912.077
lossy,0.85,RPL_STANDARD,20260501,0,7088.667
lossy,0.85,RPL_STANDARD,20260501,1,6659.0
lossy,0.85,RPL_STANDARD,20260501,2,4992.273
lossy,0.85,RPL_STANDARD,20260501,3,4208.2
lossy,0.85,RPL_MQOS,20260501,0,7092.0
lossy,0.85,RPL_MQOS,20260501,1,6678.4
lossy,0.85,RPL_MQOS,20260501,2,4984.455
lossy,0.85,RPL_MQOS,20260501,3,4219.467
lossy,0.85,RPL_AER,20260501,0,7092.0
lossy,0.85,RPL_AER,20260501,1,6678.4
lossy,0.85,RPL_AER,20260501,2,4984.455
lossy,0.85,RPL_AER,20260501,3,4219.467
lossy,0.85,AER_MQOS,20260501,0,7108.167
lossy,0.85,AER_MQOS,20260501,1,8254.0
lossy,0.85,AER_MQOS,20260501,2,4988.0
lossy,0.85,AER_MQOS,20260501,3,4206.333
lossy,0.85,RPL_STANDARD,20260502,0,8528.8
lossy,0.85,RPL_STANDARD,20260502,1,8371.75
lossy,0.85,RPL_STANDARD,20260502,2,5447.4
lossy,0.85,RPL_STANDARD,20260502,3,3990.5
lossy,0.85,RPL_MQOS,20260502,0,8528.8
lossy,0.85,RPL_MQOS,20260502,1,8371.75
lossy,0.85,RPL_MQOS,20260502,2,5449.7
lossy,0.85,RPL_MQOS,20260502,3,3990.5
lossy,0.85,RPL_AER,20260502,0,8528.8
lossy,0.85,RPL_AER,20260502,1,8371.75
lossy,0.85,RPL_AER,20260502,2,5449.7
lossy,0.85,RPL_AER,20260502,3,3990.5
lossy,0.85,AER_MQOS,20260502,0,8528.8
lossy,0.85,AER_MQOS,20260502,1,8371.75
lossy,0.85,AER_MQOS,20260502,2,5449.7
lossy,0.85,AER_MQOS,20260502,3,3990.5
lossy,0.85,RPL_STANDARD,20260503,0,14047.667
lossy,0.85,RPL_STANDARD,20260503,1,5636.0
lossy,0.85,RPL_STANDARD,20260503,2,6119.111
lossy,0.85,RPL_STANDARD,20260503,3,5268.25
lossy,0.85,RPL_MQOS,20260503,0,14047.667
lossy,0.85,RPL_MQOS,20260503,1,5636.0
lossy,0.85,RPL_MQOS,20260503,2,6119.111
lossy,0.85,RPL_MQOS,20260503,3,5268.25
lossy,0.85,RPL_AER,20260503,0,14047.667
lossy,0.85,RPL_AER,20260503,1,5636.0
lossy,0.85,RPL_AER,20260503,2,6119.111
lossy,0.85,RPL_AER,20260503,3,5268.25
lossy,0.85,AER_MQOS,20260503,0,14047.667
lossy,0.85,AER_MQOS,20260503,1,5636.0
lossy,0.85,AER_MQOS,20260503,2,6119.111
lossy,0.85,AER_MQOS,20260503,3,5268.25
lossy,0.85,RPL_STANDARD,20260504,0,6122.571
lossy,0.85,RPL_STANDARD,20260504,1,5601.833
lossy,0.85,RPL_STANDARD,20260504,2,6096.333
lossy,0.85,RPL_STANDARD,20260504,3,4887.692
lossy,0.85,RPL_MQOS,20260504,0,7139.667
lossy,0.85,RPL_MQOS,20260504,1,6715.4
lossy,0.85,RPL_MQOS,20260504,2,6870.0
lossy,0.85,RPL_MQOS,20260504,3,5290.167
lossy,0.85,RPL_AER,20260504,0,7137.833
lossy,0.85,RPL_AER,20260504,1,6715.4
lossy,0.85,RPL_AER,20260504,2,6867.375
lossy,0.85,RPL_AER,20260504,3,5292.25
lossy,0.85,AER_MQOS,20260504,0,6123.571
lossy,0.85,AER_MQOS,20260504,1,5601.833
lossy,0.85,AER_MQOS,20260504,2,6132.667
lossy,0.85,AER_MQOS,20260504,3,4885.462
lossy,0.85,RPL_STANDARD,20260505,0,10687.5
lossy,0.85,RPL_STANDARD,20260505,1,5608.5
lossy,0.85,RPL_STANDARD,20260505,2,3925.071
lossy,0.85,RPL_STANDARD,20260505,3,4568.714
lossy,0.85,RPL_MQOS,20260505,0,10687.5
lossy,0.85,RPL_MQOS,20260505,1,5608.5
lossy,0.85,RPL_MQOS,20260505,2,3925.071
lossy,0.85,RPL_MQOS,20260505,3,4568.714
lossy,0.85,RPL_AER,20260505,0,10687.5
lossy,0.85,RPL_AER,20260505,1,5608.5
lossy,0.85,RPL_AER,20260505,2,3925.071
lossy,0.85,RPL_AER,20260505,3,4568.714
lossy,0.85,AER_MQOS,20260505,0,10687.75
lossy,0.85,AER_MQOS,20260505,1,5603.167
lossy,0.85,AER_MQOS,20260505,2,3927.643
lossy,0.85,AER_MQOS,20260505,3,4915.308
