channel,success_ratio,protocol,seed,latency_ms_mean,latency_ms_p95
lossless,1.0,RPL_STANDARD,20260501,300.577,555.0
lossless,1.0,RPL_MQOS,20260501,300.577,555.0
lossless,1.0,RPL_AER,20260501,300.577,555.0
lossless,1.0,AER_MQOS,20260501,300.577,555.0
lossless,1.0,RPL_STANDARD,20260502,16.0,16.0
lossless,1.0,RPL_MQOS,20260502,16.0,16.0
lossless,1.0,RPL_AER,20260502,16.0,16.0
lossless,1.0,AER_MQOS,20260502,16.0,16.0
lossless,1.0,RPL_STANDARD,20260503,129.1,319.0
lossless,1.0,RPL_MQOS,20260503,129.1,319.0
lossless,1.0,RPL_AER,20260503,129.1,319.0
lossless,1.0,AER_MQOS,20260503,131.6,319.0
lossless,1.0,RPL_STANDARD,20260504,114.0,254.0
lossless,1.0,RPL_MQOS,20260504,114.0,254.0
lossless,1.0,RPL_AER,20260504,114.0,254.0
lossless,1.0,AER_MQOS,20260504,114.0,254.0
lossless,1.0,RPL_STANDARD,20260505,256.4,403.0
lossless,1.0,RPL_MQOS,20260505,256.4,403.0
lossless,1.0,RPL_AER,20260505,256.4,403.0
lossless,1.0,AER_MQOS,20260505,256.4,403.0
lossy,0.85,RPL_STANDARD,20260501,372.452,746.0
lossy,0.85,RPL_MQOS,20260501,389.581,730.0
lossy,0.85,RPL_AER,20260501,389.581,730.0
lossy,0.85,AER_MQOS,20260501,369.6,750.0
lossy,0.85,RPL_STANDARD,20260502,65.0,153.0
lossy,0.85,RPL_MQOS,20260502,65.0,153.0
lossy,0.85,RPL_AER,20260502,65.0,153.0
lossy,0.85,AER_MQOS,20260502,65.0,153.0
lossy,0.85,RPL_STANDARD,20260503,140.636,443.0
lossy,0.85,RPL_MQOS,20260503,140.636,443.0
lossy,0.85,RPL_AER,20260503,140.636,443.0
lossy,0.85,AER_MQOS,20260503,140.636,443.0
lossy,0.85,RPL_STANDARD,20260504,114.818,198.0
lossy,0.85,RPL_MQOS,20260504,127.9,291.0
lossy,0.85,RPL_AER,20260504,129.5,270.0
lossy,0.85,AER_MQOS,20260504,156.6,525.0
lossy,0.85,RPL_STANDARD,20260505,296.562,461.0
lossy,0.85,RPL_MQOS,20260505,296.562,461.0
lossy,0.85,RPL_AER,20260505,296.562,461.0
lossy,0.85,AER_MQOS,20260505,279.4,462.0
