channel,success_ratio,load_pct,learning_on,pdr_mean,protocol,seed
lossless,1.0,25,0,0.0,RPL_STANDARD,20260501
lossless,1.0,50,0,100.0,RPL_STANDARD,20260501
lossless,1.0,75,0,100.0,RPL_STANDARD,20260501
lossless,1.0,100,0,100.0,RPL_STANDARD,20260501
lossless,1.0,25,0,0.0,RPL_MQOS,20260501
lossless,1.0,50,0,100.0,RPL_MQOS,20260501
lossless,1.0,75,0,100.0,RPL_MQOS,20260501
lossless,1.0,100,0,100.0,RPL_MQOS,20260501
lossless,1.0,25,0,0.0,RPL_AER,20260501
lossless,1.0,50,0,100.0,RPL_AER,20260501
lossless,1.0,75,0,100.0,RPL_AER,20260501
lossless,1.0,100,0,100.0,RPL_AER,20260501
lossless,1.0,25,0,0.0,AER_MQOS,20260501
lossless,1.0,25,1,0.0,AER_MQOS,20260501
lossless,1.0,50,0,100.0,AER_MQOS,20260501
lossless,1.0,50,1,100.0,AER_MQOS,20260501
lossless,1.0,75,0,100.0,AER_MQOS,20260501
lossless,1.0,75,1,100.0,AER_MQOS,20260501
lossless,1.0,100,0,100.0,AER_MQOS,20260501
lossless,1.0,100,1,100.0,AER_MQOS,20260501
lossless,1.0,25,0,0.0,RPL_STANDARD,20260502
lossless,1.0,50,0,100.0,RPL_STANDARD,20260502
lossless,1.0,75,0,100.0,RPL_STANDARD,20260502
lossless,1.0,100,0,100.0,RPL_STANDARD,20260502
lossless,1.0,25,0,0.0,RPL_MQOS,20260502
lossless,1.0,50,0,100.0,RPL_MQOS,20260502
lossless,1.0,75,0,100.0,RPL_MQOS,20260502
lossless,1.0,100,0,100.0,RPL_MQOS,20260502
lossless,1.0,25,0,0.0,RPL_AER,20260502
lossless,1.0,50,0,100.0,RPL_AER,20260502
lossless,1.0,75,0,100.0,RPL_AER,20260502
lossless,1.0,100,0,100.0,RPL_AER,20260502
lossless,1.0,25,0,0.0,AER_MQOS,20260502
lossless,1.0,25,1,0.0,AER_MQOS,20260502
lossless,1.0,50,0,100.0,AER_MQOS,20260502
lossless,1.0,50,1,100.0,AER_MQOS,20260502
lossless,1.0,75,0,100.0,AER_MQOS,20260502
lossless,1.0,75,1,100.0,AER_MQOS,20260502
lossless,1.0,100,0,100.0,AER_MQOS,20260502
lossless,1.0,100,1,100.0,AER_MQOS,20260502
lossless,1.0,25,0,0.0,RPL_STANDARD,20260503
lossless,1.0,50,0,100.0,RPL_STANDARD,20260503
lossless,1.0,75,0,100.0,RPL_STANDARD,20260503
lossless,1.0,100,0,100.0,RPL_STANDARD,20260503
lossless,1.0,25,0,0.0,RPL_MQOS,20260503
lossless,1.0,50,0,100.0,RPL_MQOS,20260503
lossless,1.0,75,0,100.0,RPL_MQOS,20260503
lossless,1.0,100,0,100.0,RPL_MQOS,20260503
lossless,1.0,25,0,0.0,RPL_AER,20260503
lossless,1.0,50,0,100.0,RPL_AER,20260503
lossless,1.0,75,0,100.0,RPL_AER,20260503
lossless,1.0,100,0,100.0,RPL_AER,20260503
lossless,1.0,25,0,0.0,AER_MQOS,20260503
lossless,1.0,25,1,0.0,AER_MQOS,20260503
lossless,1.0,50,0,100.0,AER_MQOS,20260503
lossless,1.0,50,1,100.0,AER_MQOS,20260503
lossless,1.0,75,0,100.0,AER_MQOS,20260503
lossless,1.0,75,1,100.0,AER_MQOS,20260503
lossless,1.0,100,0,100.0,AER_MQOS,20260503
lossless,1.0,100,1,100.0,AER_MQOS,20260503
lossless,1.0,25,0,0.0,RPL_STANDARD,20260504
lossless,1.0,50,0,100.0,RPL_STANDARD,20260504
lossless,1.0,75,0,100.0,RPL_STANDARD,20260504
lossless,1.0,100,0,100.0,RPL_STANDARD,20260504
lossless,1.0,25,0,0.0,RPL_MQOS,20260504
lossless,1.0,50,0,100.0,RPL_MQOS,20260504
lossless,1.0,75,0,100.0,RPL_MQOS,20260504
lossless,1.0,100,0,100.0,RPL_MQOS,20260504
lossless,1.0,25,0,0.0,RPL_AER,20260504
lossless,1.0,50,0,100.0,RPL_AER,20260504
lossless,1.0,75,0,100.0,RPL_AER,20260504
lossless,1.0,100,0,100.0,RPL_AER,20260504
lossless,1.0,25,0,0.0,AER_MQOS,20260504
lossless,1.0,25,1,0.0,AER_MQOS,20260504
lossless,1.0,50,0,100.0,AER_MQOS,20260504
lossless,1.0,50,1,100.0,AER_MQOS,20260504
lossless,1.0,75,0,100.0,AER_MQOS,20260504
lossless,1.0,75,1,100.0,AER_MQOS,20260504
lossless,1.0,100,0,100.0,AER_MQOS,20260504
lossless,1.0,100,1,100.0,AER_MQOS,20260504
lossless,1.0,25,0,0.0,RPL_STANDARD,20260505
lossless,1.0,50,0,100.0,RPL_STANDARD,20260505
lossless,1.0,75,0,100.0,RPL_STANDARD,20260505
lossless,1.0,100,0,100.0,RPL_STANDARD,20260505
lossless,1.0,25,0,0.0,RPL_MQOS,20260505
lossless,1.0,50,0,100.0,RPL_MQOS,20260505
lossless,1.0,75,0,100.0,RPL_MQOS,20260505
lossless,1.0,100,0,100.0,RPL_MQOS,20260505
lossless,1.0,25,0,0.0,RPL_AER,20260505
lossless,1.0,50,0,100.0,RPL_AER,20260505
lossless,1.0,75,0,100.0,RPL_AER,20260505
lossless,1.0,100,0,100.0,RPL_AER,20260505
lossless,1.0,25,0,0.0,AER_MQOS,20260505
lossless,1.0,25,1,0.0,AER_MQOS,20260505
lossless,1.0,50,0,100.0,AER_MQOS,20260505
