channel,success_ratio,protocol,seed,pdr_mean,pdr_std,tx_total,rx_total,pdr_c0,pdr_c1,pdr_c2,pdr_c3
lossless,1.0,RPL_STANDARD,20260501,100.0,0.0,36,36,100.0,100.0,100.0,100.0
lossless,1.0,RPL_MQOS,20260501,100.0,0.0,36,36,100.0,100.0,100.0,100.0
lossless,1.0,RPL_AER,20260501,100.0,0.0,36,36,100.0,100.0,100.0,100.0
lossless,1.0,AER_MQOS,20260501,100.0,0.0,36,36,100.0,100.0,100.0,100.0
lossless,1.0,RPL_STANDARD,20260502,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossless,1.0,RPL_MQOS,20260502,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossless,1.0,RPL_AER,20260502,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossless,1.0,AER_MQOS,20260502,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossless,1.0,RPL_STANDARD,20260503,100.0,0.0,33,33,100.0,100.0,100.0,100.0
lossless,1.0,RPL_MQOS,20260503,100.0,0.0,33,33,100.0,100.0,100.0,100.0
lossless,1.0,RPL_AER,20260503,100.0,0.0,33,33,100.0,100.0,100.0,100.0
lossless,1.0,AER_MQOS,20260503,100.0,0.0,33,33,100.0,100.0,100.0,100.0
lossless,1.0,RPL_STANDARD,20260504,100.0,0.0,37,37,100.0,100.0,100.0,100.0
lossless,1.0,RPL_MQOS,20260504,100.0,0.0,37,37,100.0,100.0,100.0,100.0
lossless,1.0,RPL_AER,20260504,100.0,0.0,37,37,100.0,100.0,100.0,100.0
lossless,1.0,AER_MQOS,20260504,100.0,0.0,36,36,100.0,100.0,100.0,100.0
lossless,1.0,RPL_STANDARD,20260505,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossless,1.0,RPL_MQOS,20260505,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossless,1.0,RPL_AER,20260505,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossless,1.0,AER_MQOS,20260505,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260501,100.0,0.0,41,41,100.0,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260501,100.0,0.0,41,41,100.0,100.0,100.0,100.0
lossy,0.85,RPL_AER,20260501,100.0,0.0,41,41,100.0,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260501,100.0,0.0,40,40,100.0,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260502,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260502,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossy,0.85,RPL_AER,20260502,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260502,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260503,97.1429,0.0,35,34,80.0,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260503,97.1429,0.0,35,34,80.0,100.0,100.0,100.0
lossy,0.85,RPL_AER,20260503,97.1429,0.0,35,34,80.0,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260503,97.1429,0.0,35,34,80.0,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260504,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260504,100.0,0.0,35,35,100.0,100.0,100.0,100.0
lossy,0.85,RPL_AER,20260504,100.0,0.0,35,35,100.0,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260504,100.0,0.0,39,39,100.0,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260505,100.0,0.0,42,42,100.0,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260505,100.0,0.0,42,42,100.0,100.0,100.0,100.0
lossy,0.85,RPL_AER,20260505,100.0,0.0,42,42,100.0,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260505,100.0,0.0,41,41,100.0,100.0,100.0,100.0
