channel,success_ratio,protocol,seed,time_min,parent_changes_cumulative,parent_switch_console
lossless,1.0,RPL_STANDARD,20260501,0.0588,0,0
lossless,1.0,RPL_STANDARD,20260501,0.1764,0,0
lossless,1.0,RPL_STANDARD,20260501,0.294,2,0
lossless,1.0,RPL_STANDARD,20260501,0.4116,5,0
lossless,1.0,RPL_STANDARD,20260501,0.5292,7,0
lossless,1.0,RPL_STANDARD,20260501,0.6468,13,0
lossless,1.0,RPL_STANDARD,20260501,0.7645,13,0
lossless,1.0,RPL_STANDARD,20260501,0.8821,16,0
lossless,1.0,RPL_STANDARD,20260501,0.9997,20,0
lossless,1.0,RPL_STANDARD,20260501,1.1173,23,0
lossless,1.0,RPL_STANDARD,20260501,1.2349,23,0
lossless,1.0,RPL_STANDARD,20260501,1.3525,36,0
lossless,1.0,RPL_MQOS,20260501,0.0588,0,0
lossless,1.0,RPL_MQOS,20260501,0.1764,0,0
lossless,1.0,RPL_MQOS,20260501,0.294,2,0
lossless,1.0,RPL_MQOS,20260501,0.4116,5,0
lossless,1.0,RPL_MQOS,20260501,0.5292,7,0
lossless,1.0,RPL_MQOS,20260501,0.6468,13,0
lossless,1.0,RPL_MQOS,20260501,0.7645,13,0
lossless,1.0,RPL_MQOS,20260501,0.8821,16,0
lossless,1.0,RPL_MQOS,20260501,0.9997,20,0
lossless,1.0,RPL_MQOS,20260501,1.1173,23,0
lossless,1.0,RPL_MQOS,20260501,1.2349,23,0
lossless,1.0,RPL_MQOS,20260501,1.3525,36,0
lossless,1.0,RPL_AER,20260501,0.0588,0,0
lossless,1.0,RPL_AER,20260501,0.1764,0,0
lossless,1.0,RPL_AER,20260501,0.294,2,0
lossless,1.0,RPL_AER,20260501,0.4116,5,0
lossless,1.0,RPL_AER,20260501,0.5292,7,0
lossless,1.0,RPL_AER,20260501,0.6468,13,0
lossless,1.0,RPL_AER,20260501,0.7645,13,0
lossless,1.0,RPL_AER,20260501,0.8821,16,0
lossless,1.0,RPL_AER,20260501,0.9997,20,0
lossless,1.0,RPL_AER,20260501,1.1173,23,0
lossless,1.0,RPL_AER,20260501,1.2349,23,0
lossless,1.0,RPL_AER,20260501,1.3525,36,0
lossless,1.0,AER_MQOS,20260501,0.0588,0,0
lossless,1.0,AER_MQOS,20260501,0.1764,0,0
lossless,1.0,AER_MQOS,20260501,0.294,2,0
lossless,1.0,AER_MQOS,20260501,0.4116,5,0
lossless,1.0,AER_MQOS,20260501,0.5292,7,0
lossless,1.0,AER_MQOS,20260501,0.6468,13,0
lossless,1.0,AER_MQOS,20260501,0.7645,13,0
lossless,1.0,AER_MQOS,20260501,0.8821,16,0
lossless,1.0,AER_MQOS,20260501,0.9997,20,0
lossless,1.0,AER_MQOS,20260501,1.1173,23,0
lossless,1.0,AER_MQOS,20260501,1.2349,23,0
lossless,1.0,AER_MQOS,20260501,1.3525,36,0
lossless,1.0,RPL_STANDARD,20260502,0.0584,0,0
lossless,1.0,RPL_STANDARD,20260502,0.1752,0,0
lossless,1.0,RPL_STANDARD,20260502,0.292,2,0
lossless,1.0,RPL_STANDARD,20260502,0.4088,4,0
lossless,1.0,RPL_STANDARD,20260502,0.5256,6,0
lossless,1.0,RPL_STANDARD,20260502,0.6424,12,0
lossless,1.0,RPL_STANDARD,20260502,0.7592,12,0
lossless,1.0,RPL_STANDARD,20260502,0.8761,16,0
lossless,1.0,RPL_STANDARD,20260502,0.9929,21,0
lossless,1.0,RPL_STANDARD,20260502,1.1097,24,0
lossless,1.0,RPL_STANDARD,20260502,1.2265,24,0
lossless,1.0,RPL_STANDARD,20260502,1.3433,39,0
lossless,1.0,RPL_MQOS,20260502,0.0584,0,0
lossless,1.0,RPL_MQOS,20260502,0.1752,0,0
lossless,1.0,RPL_MQOS,20260502,0.292,2,0
lossless,1.0,RPL_MQOS,20260502,0.4088,4,0
lossless,1.0,RPL_MQOS,20260502,0.5256,6,0
lossless,1.0,RPL_MQOS,20260502,0.6424,12,0
lossless,1.0,RPL_MQOS,20260502,0.7592,12,0
lossless,1.0,RPL_MQOS,20260502,0.8761,16,0
lossless,1.0,RPL_MQOS,20260502,0.9929,21,0
lossless,1.0,RPL_MQOS,20260502,1.1097,24,0
lossless,1.0,RPL_MQOS,20260502,1.2265,24,0
lossless,1.0,RPL_MQOS,20260502,1.3433,39,0
lossless,1.0,RPL_AER,20260502,0.0584,0,0
lossless,1.0,RPL_AER,20260502,0.1752,0,0
lossless,1.0,RPL_AER,20260502,0.292,2,0
lossless,1.0,RPL_AER,20260502,0.4088,4,0
lossless,1.0,RPL_AER,20260502,0.5256,6,0
lossless,1.0,RPL_AER,20260502,0.6424,12,0
lossless,1.0,RPL_AER,20260502,0.7592,12,0
lossless,1.0,RPL_AER,20260502,0.8761,16,0
lossless,1.0,RPL_AER,20260502,0.9929,21,0
lossless,1.0,RPL_AER,20260502,1.1097,24,0
lossless,1.0,RPL_AER,20260502,1.2265,24,0
lossless,1.0,RPL_AER,20260502,1.3433,39,0
lossless,1.0,AER_MQOS,20260502,0.0584,0,0
lossless,1.0,AER_MQOS,20260502,0.1752,0,0
lossless,1.0,AER_MQOS,20260502,0.292,2,0
lossless,1.0,AER_MQOS,20260502,0.4088,4,0
lossless,1.0,AER_MQOS,20260502,0.5256,6,0
lossless,1.0,AER_MQOS,20260502,0.6424,12,0
lossless,1.0,AER_MQOS,20260502,0.7592,12,0
lossless,1.0,AER_MQOS,20260502,0.8761,16,0
lossless,1.0,AER_MQOS,20260502,0.9929,21,0
lossless,1.0,AER_MQOS,20260502,1.1097,24,0
lossless,1.0,AER_MQOS,20260502,1.2265,24,0
lossless,1.0,AER_MQOS,20260502,1.3433,39,0
lossless,1.0,RPL_STANDARD,20260503,0.0585,0,0
lossless,1.0,RPL_STANDARD,20260503,0.1756,0,0
lossless,1.0,RPL_STANDARD,20260503,0.2926,2,0
lossless,1.0,RPL_STANDARD,20260503,0.4096,4,0
lossless,1.0,RPL_STANDARD,20260503,0.5267,7,0
lossless,1.0,RPL_STANDARD,20260503,0.6437,11,0
lossless,1.0,RPL_STANDARD,20260503,0.7607,11,0
lossless,1.0,RPL_STANDARD,20260503,0.8778,14,0
lossless,1.0,RPL_STANDARD,20260503,0.9948,17,0
lossless,1.0,RPL_STANDARD,20260503,1.1119,21,0
lossless,1.0,RPL_STANDARD,20260503,1.2289,21,0
lossless,1.0,RPL_STANDARD,20260503,1.3459,33,0
lossless,1.0,RPL_MQOS,20260503,0.0585,0,0
lossless,1.0,RPL_MQOS,20260503,0.1756,0,0
lossless,1.0,RPL_MQOS,20260503,0.2926,2,0
lossless,1.0,RPL_MQOS,20260503,0.4096,4,0
lossless,1.0,RPL_MQOS,20260503,0.5267,7,0
lossless,1.0,RPL_MQOS,20260503,0.6437,11,0
lossless,1.0,RPL_MQOS,20260503,0.7607,11,0
lossless,1.0,RPL_MQOS,20260503,0.8778,14,0
lossless,1.0,RPL_MQOS,20260503,0.9948,17,0
lossless,1.0,RPL_MQOS,20260503,1.1119,21,0
lossless,1.0,RPL_MQOS,20260503,1.2289,21,0
lossless,1.0,RPL_MQOS,20260503,1.3459,33,0
lossless,1.0,RPL_AER,20260503,0.0585,0,0
lossless,1.0,RPL_AER,20260503,0.1756,0,0
lossless,1.0,RPL_AER,20260503,0.2926,2,0
lossless,1.0,RPL_AER,20260503,0.4096,4,0
lossless,1.0,RPL_AER,20260503,0.5267,7,0
lossless,1.0,RPL_AER,20260503,0.6437,11,0
lossless,1.0,RPL_AER,20260503,0.7607,11,0
lossless,1.0,RPL_AER,20260503,0.8778,14,0
lossless,1.0,RPL_AER,20260503,0.9948,17,0
lossless,1.0,RPL_AER,20260503,1.1119,21,0
lossless,1.0,RPL_AER,20260503,1.2289,21,0
lossless,1.0,RPL_AER,20260503,1.3459,33,0
lossless,1.0,AER_MQOS,20260503,0.0585,0,0
lossless,1.0,AER_MQOS,20260503,0.1756,0,0
lossless,1.0,AER_MQOS,20260503,0.2926,2,0
lossless,1.0,AER_MQOS,20260503,0.4096,4,0
lossless,1.0,AER_MQOS,20260503,0.5267,7,0
lossless,1.0,AER_MQOS,20260503,0.6437,11,0
lossless,1.0,AER_MQOS,20260503,0.7607,11,0
lossless,1.0,AER_MQOS,20260503,0.8778,14,0
lossless,1.0,AER_MQOS,20260503,0.9948,17,0
lossless,1.0,AER_MQOS,20260503,1.1119,21,0
